00:01:55.531,,258,-389,928,-15400,-42140,-54810,39,-1081,-205
00:01:55.550,,274,-382,937,-68880,-217980,-217700,31,-1083,-202
00:01:55.568,,274,-382,937,-68880,-217980,-217700,34,-1075,-199
00:01:55.587,,284,-376,938,11060,-28210,-3850,43,-1081,-192
00:01:55.605,,292,-374,941,7490,-210,9940,45,-1078,-201
00:01:55.624,,294,-367,938,6930,840,8960,43,-1084,-202
00:01:55.642,,295,-361,930,5600,1330,7980,52,-1077,-199
00:01:55.661,,298,-361,931,3990,1330,7280,54,-1078,-207
00:01:55.679,,303,-359,931,3080,840,6790,51,-1069,-202
00:01:55.698,,310,-349,928,2870,560,6440,54,-1084,-205
00:01:55.717,,314,-339,931,2030,350,6090,57,-1078,-201
00:01:55.735,,317,-334,934,770,-140,5670,54,-1066,-207
00:01:55.754,,318,-332,936,0,-700,4760,61,-1080,-205
00:01:55.772,,313,-322,935,-350,-1120,3570,60,-1080,-202
00:01:55.791,,304,-314,940,-1260,-1820,2380,55,-1077,-207
00:01:55.809,,292,-314,944,-2380,-2800,1190,55,-1077,-207
00:01:55.828,,283,-318,952,-2590,-3780,-140,60,-1077,-198
00:01:55.846,,273,-315,958,-2030,-4830,-1540,61,-1078,-202
00:01:55.865,,269,-318,968,-1680,-5670,-2590,46,-1083,-213
00:01:55.883,,266,-322,979,-1330,-6160,-3220,58,-1074,-204
00:01:55.902,,267,-324,987,-630,-6090,-3710,57,-1074,-207
00:01:55.920,,265,-317,984,140,-5320,-3990,64,-1081,-199
00:01:55.939,,260,-318,980,-140,-3990,-4200,61,-1081,-207
00:01:55.957,,262,-329,981,-700,-2800,-4760,63,-1075,-205
00:01:55.976,,257,-339,979,-630,-1400,-5670,46,-1078,-205
00:01:55.994,,249,-348,972,-280,-210,-6440,54,-1071,-204
00:01:56.013,,242,-358,967,-560,420,-6650,54,-1086,-204
00:01:56.032,,237,-375,970,-840,560,-6090,55,-1081,-199
00:01:56.050,,226,-379,973,-280,700,-4690,55,-1077,-205
00:01:56.069,,219,-378,977,700,560,-2800,52,-1080,-204
00:01:56.087,,217,-373,987,1400,70,-840,61,-1071,-204
00:01:56.106,,219,-371,999,2100,-210,560,49,-1084,-211
00:01:56.124,,219,-368,1016,2800,-140,1470,57,-1081,-202
00:01:56.143,,222,-363,1033,3990,280,2240,58,-1081,-210
00:01:56.161,,230,-359,1044,5180,1260,2870,63,-1083,-199
00:01:56.180,,244,-355,1046,6160,3010,3500,57,-1080,-201
00:01:56.198,,252,-352,1044,7140,5530,3920,51,-1078,-208
00:01:56.217,,250,-348,1035,8050,8050,3990,54,-1080,-211
00:01:56.235,,243,-342,1026,9030,10430,3850,66,-1078,-210
00:01:56.254,,230,-331,1019,9450,12180,3570,66,-1089,-213
00:01:56.272,,216,-329,1019,9590,13090,3220,63,-1078,-226
00:01:56.291,,201,-321,1024,10150,13160,2870,67,-1081,-228
00:01:56.310,,180,-321,1048,10780,12950,2590,67,-1081,-228
00:01:56.328,,173,-325,1076,11480,12600,2730,67,-1078,-219
00:01:56.347,,155,-340,1103,12880,13370,3990,69,-1086,-228
00:01:56.365,,144,-343,1130,15610,14070,4760,78,-1083,-231
00:01:56.384,,160,-346,1168,17430,14630,5320,78,-1084,-232
00:01:56.402,,178,-370,1179,17710,17780,6090,67,-1078,-237
00:01:56.421,,166,-354,1202,20650,23660,7420,72,-1083,-243
00:01:56.439,,162,-337,1228,23520,29330,9100,73,-1077,-252
00:01:56.458,,147,-331,1272,26110,35210,10570,82,-1080,-264
00:01:56.476,,104,-341,1295,27860,39760,12180,94,-1080,-273
00:01:56.495,,87,-342,1315,32480,43260,14070,87,-1087,-283
00:01:56.513,,87,-298,1345,37940,47250,17080,88,-1075,-294
00:01:56.532,,100,-287,1333,42000,50820,18970,85,-1080,-312
00:01:56.551,,110,-272,1305,46760,55860,18480,81,-1084,-315
00:01:56.569,,104,-250,1265,48440,61880,16450,88,-1075,-319
00:01:56.588,,88,-254,1212,46830,67690,14420,79,-1083,-331
00:01:56.606,,76,-274,1152,46340,72170,12810,81,-1066,-340
00:01:56.625,,67,-262,1066,46410,75880,11130,79,-1075,-349
00:01:56.643,,63,-234,952,40600,79240,9590,76,-1071,-369
00:01:56.662,,42,-188,847,25270,81480,9380,82,-1060,-375
00:01:56.680,,-1,-142,768,-420,82530,10920,85,-1057,-399
00:01:56.699,,-43,-135,677,-32550,80570,13510,93,-1048,-396
00:01:56.717,,-57,-157,583,-62370,74760,15960,103,-1050,-399
00:01:56.736,,-64,-189,516,-83790,67550,16870,106,-1044,-420
00:01:56.754,,-52,-211,492,-96110,58030,16590,114,-1044,-414
00:01:56.773,,-6,-252,474,-98770,48090,13930,126,-1041,-411
00:01:56.792,,-10,-267,439,-93310,39620,8540,126,-1041,-411
00:01:56.810,,-75,-274,438,-84420,29400,2590,132,-1027,-409
00:01:56.829,,-102,-287,480,-74060,13090,-4130,130,-1024,-409
00:01:56.847,,-133,-273,523,-63910,-4480,-10150,135,-1026,-409
