00:13:04.401,,-290,-109,953,-840,-1400,7840
00:13:04.420,,-284,-111,949,350,-840,5880
00:13:04.439,,-270,-100,952,-210,700,3150
00:13:04.458,,-267,-103,958,-2730,2660,420
00:13:04.477,,-269,-109,970,-3360,4270,-1400
00:13:04.496,,-273,-95,985,-910,5040,-2240
00:13:04.515,,-283,-73,995,420,4620,-2310
00:13:04.534,,-283,-65,998,-980,3360,-2030
00:13:04.553,,-274,-71,996,-2450,2450,-1750
00:13:04.572,,-274,-70,994,-1750,2310,-1400
00:13:04.590,,-277,-67,990,-490,2450,-770
00:13:04.609,,-279,-68,983,-70,2310,0
00:13:04.628,,-280,-72,976,70,2100,630
00:13:04.647,,-275,-68,979,350,2240,840
00:13:04.666,,-282,-69,980,-560,2730,560
00:13:04.685,,-292,-79,977,-1680,2660,140
00:13:04.704,,-277,-73,976,-1190,2380,-210
00:13:04.723,,-270,-69,975,-910,2520,-490
00:13:04.742,,-271,-71,978,-840,3150,-350
00:13:04.760,,-279,-71,983,-280,3710,140
00:13:04.779,,-285,-71,986,-70,3850,700
00:13:04.798,,-283,-74,990,-630,3570,910
00:13:04.817,,-280,-79,994,-560,3220,630
00:13:04.836,,-286,-76,997,420,2940,70
00:13:04.855,,-293,-72,994,490,2240,-210
00:13:04.874,,-288,-72,985,-980,1190,-350
00:13:04.893,,-278,-80,976,-2240,700,-490
00:13:04.912,,-280,-83,970,-1470,1260,-700
00:13:04.930,,-284,-74,969,-210,2170,-910
00:13:04.949,,-284,-71,967,-560,2800,-980
00:13:04.968,,-279,-72,967,-1190,3290,-1260
00:13:04.987,,-280,-70,971,-770,3640,-1540
00:13:05.006,,-284,-63,977,-280,4130,-1540
00:13:05.025,,-289,-62,981,-980,4410,-1260
00:13:05.044,,-292,-66,981,-1680,4200,-840
00:13:05.063,,-285,-64,981,-1260,3780,-560
00:13:05.082,,-285,-63,986,-1190,3780,-420
00:13:05.100,,-288,-67,991,-1260,4130,-420
00:13:05.119,,-295,-68,993,-490,4130,-280
00:13:05.138,,-294,-61,995,-70,3500,0
00:13:05.157,,-286,-63,998,-840,3010,140
00:13:05.176,,-290,-69,1001,-1120,2730,140
00:13:05.195,,-299,-70,1001,-490,2310,210
00:13:05.214,,-298,-67,996,-210,1260,490
00:13:05.233,,-287,-70,987,-840,420,700
00:13:05.251,,-280,-73,983,-770,490,490
00:13:05.270,,-287,-68,983,-140,980,210
00:13:05.289,,-292,-66,982,-700,1120,140
