00:02:54.550,,-59,128,1010,-1190,2170,-1260
00:02:54.568,,-64,131,1011,-1540,2100,-980
00:02:54.587,,-64,130,1014,-1540,1890,-700
00:02:54.606,,-64,127,1010,-840,1680,-630
00:02:54.625,,-57,130,1003,-70,1680,-630
00:02:54.644,,-55,138,1007,-350,1960,-630
00:02:54.663,,-57,128,1012,-1540,2380,-490
00:02:54.682,,-59,124,1013,-1260,2520,-420
00:02:54.701,,-62,130,1013,-210,2310,-560
00:02:54.719,,-63,134,1011,-210,1960,-630
00:02:54.738,,-57,128,1007,-700,1960,-280
00:02:54.757,,-55,123,1007,-560,2240,-140
00:02:54.776,,-62,123,1012,-490,2520,-490
00:02:54.795,,-59,126,1011,-280,2450,-910
00:02:54.814,,-62,139,1014,-350,2380,-770
00:02:54.833,,-65,132,1018,-1400,2240,-560
00:02:54.852,,-60,125,1016,-1190,1960,-560
00:02:54.871,,-58,136,1014,-140,1820,-350
00:02:54.889,,-63,139,1015,-700,1750,-280
00:02:54.908,,-58,130,1014,-1610,1750,-490
00:02:54.927,,-57,124,1011,-980,2030,-70
00:02:54.946,,-57,127,1014,-770,2100,0
00:02:54.965,,-62,127,1015,-1400,2170,-560
00:02:54.984,,-62,128,1011,-1750,2100,-770
00:02:55.003,,-62,130,1013,-1750,2170,-210
00:02:55.022,,-57,124,1014,-1820,2030,70
00:02:55.040,,-54,122,1010,-1610,2100,-490
00:02:55.059,,-59,130,1010,-1190,2380,-910
00:02:55.078,,-67,134,1013,-1540,2450,-770
00:02:55.097,,-67,126,1011,-2170,2240,-350
00:02:55.116,,-61,118,1013,-1820,1890,-280
00:02:55.135,,-56,122,1007,-770,1960,-700
00:02:55.154,,-55,131,1003,-700,2170,-1190
00:02:55.173,,-62,131,1005,-1750,2520,-1120
00:02:55.192,,-58,123,1009,-2100,2730,-770
00:02:55.210,,-60,124,1011,-1470,2800,-630
00:02:55.229,,-61,126,1008,-1260,2590,-1120
00:02:55.248,,-62,134,1008,-1190,2590,-1260
00:02:55.267,,-62,136,1011,-1540,2800,-840
00:02:55.286,,-57,124,1018,-1820,3080,-210
00:02:55.305,,-53,121,1017,-1400,3010,-70
00:02:55.324,,-56,126,1017,-1260,2800,-770
00:02:55.343,,-64,136,1020,-1540,2590,-1050
00:02:55.361,,-68,139,1019,-1820,2310,-350
00:02:55.380,,-66,132,1019,-2030,1820,560
00:02:55.399,,-56,123,1014,-1680,1540,840
00:02:55.418,,-57,128,1010,-1260,1750,420
00:02:55.437,,-62,129,1012,-1890,1960,210
00:02:55.456,,-64,123,1012,-2450,1890,490
