10:41:25.294,,-93,-76,1040,840,-210,-560,333,318,-261
10:41:25.313,,-93,-78,1058,210,-1610,-910,324,321,-256
10:41:25.331,,-98,-83,1044,350,-2170,-980,327,331,-259
10:41:25.350,,-83,-95,1063,70,-1400,-140,325,328,-261
10:41:25.369,,-79,-95,1058,140,-140,140,327,330,-252
10:41:25.388,,-92,-107,1057,0,280,280,334,325,-247
10:41:25.406,,-92,-83,1028,140,210,-350,346,313,-223
10:41:25.425,,-98,-80,1044,1050,350,-210,355,297,-219
10:41:25.444,,-87,-64,1056,420,-490,-210,352,289,-226
10:41:25.463,,-86,-82,1061,-490,-2030,-280,360,295,-238
10:41:25.481,,-97,-83,1057,-280,-2310,-630,351,300,-261
10:41:25.500,,-89,-94,1045,-1050,-700,-490,342,300,-267
10:41:25.519,,-79,-85,1073,-840,280,-350,331,300,-268
10:41:25.538,,-94,-89,1040,-420,140,-490,328,300,-265
10:41:25.557,,-89,-89,1036,-770,-490,-560,313,306,-280
10:41:25.575,,-89,-84,1074,-1540,-1400,-490,319,310,-289
10:41:25.594,,-98,-112,1055,-1610,-2380,-560,318,303,-291
10:41:25.613,,-82,-94,1053,0,-1610,-280,312,309,-288
10:41:25.632,,-72,-95,1057,70,-70,0,303,315,-295
10:41:25.650,,-75,-82,1045,350,490,-350,300,310,-291
10:41:25.669,,-91,-78,1034,-280,210,-910,298,307,-279
10:41:25.688,,-91,-82,1021,-1470,-350,-1400,294,316,-292
10:41:25.707,,-88,-87,1048,-910,-1050,-1120,301,313,-295
10:41:25.725,,-86,-96,1049,-560,-2310,-840,309,319,-300
10:41:25.744,,-84,-85,1063,1470,-2520,-350,300,318,-297
10:41:25.763,,-79,-92,1052,700,-1400,0,301,310,-289
10:41:25.782,,-70,-93,1055,-560,70,70,303,312,-297
10:41:25.801,,-80,-92,1036,-560,770,-420,301,307,-300
10:41:25.819,,-84,-81,1025,-70,140,-980,301,307,-300
10:41:25.838,,-94,-75,1033,-210,-350,-1260,310,313,-300
10:41:25.857,,-93,-90,1070,-1120,-2030,-1050,307,310,-304
10:41:25.876,,-86,-105,1022,-770,-1960,-910,306,316,-297
10:41:25.894,,-73,-91,1061,980,-210,0,309,304,-292
10:41:25.913,,-71,-96,1049,-420,350,140,304,301,-286
10:41:25.932,,-93,-86,1053,-210,-490,-140,309,312,-286
10:41:25.951,,-101,-80,1036,-1330,-1120,-560,312,315,-297
10:41:25.969,,-94,-94,1038,-1330,-490,-560,316,313,-307
10:41:25.988,,-81,-81,1044,-280,-140,-560,316,318,-301
10:41:26.007,,-78,-95,1044,0,-490,-490,312,318,-304
10:41:26.026,,-89,-87,1062,-700,-1190,-490,315,310,-297
10:41:26.045,,-87,-106,1075,-1680,-1750,-420,306,307,-294
10:41:26.063,,-96,-111,1079,-1050,-2030,-140,309,313,-300
10:41:26.082,,-85,-107,1033,420,-560,70,310,322,-300
10:41:26.101,,-79,-69,1056,2030,1470,210,312,312,-301
10:41:26.120,,-81,-82,1021,-420,910,-770,301,318,-292
10:41:26.138,,-95,-72,1020,140,140,-1610,309,318,-292
10:41:26.157,,-94,-70,1053,-980,-1470,-1540,310,318,-288
10:41:26.176,,-88,-116,1043,-2450,-2520,-1120,318,319,-292
10:41:26.195,,-90,-113,1087,-490,-2660,-70,318,316,-291
10:41:26.213,,-90,-113,1087,-280,-1540,700,324,309,-291
10:41:26.232,,-80,-131,1051,-280,-1540,700,321,297,-280
10:41:26.251,,-84,-93,1067,1890,350,1260,322,295,-268
10:41:26.270,,-80,-80,1041,420,840,560,321,303,-288
10:41:26.288,,-91,-64,1048,0,140,-770,321,312,-291
10:41:26.307,,-94,-67,1028,-560,-980,-2030,322,310,-297
10:41:26.326,,-90,-76,1056,-910,-1400,-2170,318,313,-298
10:41:26.345,,-83,-97,1069,-2170,-1820,-1750,312,313,-289
10:41:26.364,,-78,-120,1058,-2590,-1190,-700,304,307,-274
10:41:26.382,,-86,-114,1072,-1540,-490,70,313,304,-283
10:41:26.401,,-90,-121,1034,-910,140,140,306,316,-298
10:41:26.420,,-83,-81,1039,980,770,-70,310,313,-294
10:41:26.439,,-85,-72,1033,-70,420,-420,312,312,-297
10:41:26.457,,-88,-76,1057,-1050,-1190,-980,307,315,-288
10:41:26.476,,-88,-94,1054,-2310,-2170,-1260,294,309,-286
10:41:26.495,,-80,-112,1041,-1960,-1050,-1050,303,309,-273
10:41:26.514,,-76,-94,1050,-630,840,-280,307,309,-283
10:41:26.532,,-77,-109,1030,-1540,980,-210,312,315,-282
10:41:26.551,,-88,-88,1041,-560,140,-700,318,304,-285
10:41:26.570,,-102,-99,1052,-280,-1260,-840,319,313,-288
10:41:26.589,,-86,-88,1057,-280,-2520,-910,324,304,-295
10:41:26.608,,-89,-105,1045,-70,-1190,-280,322,315,-298
10:41:26.626,,-69,-90,1053,630,280,70,318,321,-306
10:41:26.645,,-80,-81,1048,490,700,-210,324,315,-297
10:41:26.664,,-97,-78,1035,-490,-280,-980,325,318,-295
10:41:26.683,,-98,-87,1064,-1260,-1330,-1190,321,310,-292
10:41:26.701,,-85,-106,1038,-2310,-1750,-1190,319,312,-282
10:41:26.720,,-78,-104,1061,-560,-840,-420,319,315,-286
10:41:26.739,,-79,-111,1054,-840,-280,-70,322,313,-297
10:41:26.758,,-78,-92,1048,140,-140,-140,322,313,-297
10:41:26.777,,-99,-79,1063,490,70,-140,327,321,-300
10:41:26.795,,-84,-87,1053,-1050,-1120,-770,313,319,-300
10:41:26.814,,-89,-96,1054,-210,-910,-910,319,318,-289
10:41:26.816,>gest1_still,,,,,,,,,
10:41:26.833,,-79,-101,1051,-140,-770,-840,316,319,-292
10:41:26.852,,-87,-96,1071,350,-420,-490,313,319,-279
10:41:26.870,,-91,-95,1063,-840,-1260,-490,315,316,-285
10:41:26.889,,-96,-108,1040,-770,-560,-350,312,322,-291
10:41:26.908,,-81,-95,1056,0,140,-70,312,325,-283
10:41:26.927,,-90,-89,1055,350,-280,-210,307,324,-285
10:41:26.945,,-91,-95,1032,-1190,-910,-350,306,322,-270
10:41:26.964,,-79,-86,1037,-770,-560,-630,315,318,-264
10:41:26.983,,-88,-86,1059,280,-700,-630,333,310,-256
10:41:27.002,,-91,-85,1035,70,-1400,-1120,348,303,-262
10:41:27.020,,-87,-95,1063,-420,-1260,-700,340,297,-283
10:41:27.039,,-79,-105,1062,-840,-1050,-420,337,303,-289
10:41:27.058,,-80,-106,1041,210,-840,-70,321,309,-286
10:41:27.077,,-82,-84,1062,1260,-560,-140,312,307,-289
10:41:27.096,,-88,-82,1073,630,-1190,-560,301,316,-289
10:41:27.114,,-91,-91,1057,-840,-1890,-840,309,312,-286
10:41:27.133,,-78,-97,1035,-1260,-840,-700,306,315,-291
10:41:27.152,,-81,-82,1046,560,560,-490,309,315,-289
10:41:27.171,,-81,-80,1057,-280,-490,-910,291,312,-279
10:41:27.189,,-88,-104,1031,-1260,-1470,-1260,292,319,-271
10:41:27.208,,-85,-101,1066,630,-1400,-700,294,309,-271
10:41:27.227,,-80,-99,1041,1120,-1330,-420,297,312,-267
10:41:27.246,,-82,-96,1058,2590,-1050,-140,288,304,-265
10:41:27.264,,-92,-90,1061,2730,-840,-210,286,300,-256
10:41:27.283,,-79,-91,1043,980,-980,-280,280,285,-241
10:41:27.302,,-84,-91,1037,-210,0,-280,280,283,-237
10:41:27.321,,-84,-91,1057,-770,140,-350,286,285,-243
10:41:27.340,,-95,-85,1062,0,-1120,-700,303,279,-252
10:41:27.358,,-88,-97,1055,560,-1820,-560,303,289,-270
10:41:27.377,,-83,-98,1056,140,-980,-140,298,288,-277
10:41:27.396,,-87,-97,1044,-140,70,140,291,286,-283
10:41:27.415,,-85,-91,1053,0,0,-70,285,291,-276
10:41:27.433,,-88,-89,1040,-280,-490,-280,285,292,-277
10:41:27.452,,-90,-94,1061,140,-910,-140,282,291,-280
10:41:27.471,,-95,-99,1050,-140,-1540,-210,283,294,-282
10:41:27.490,,-86,-98,1074,1050,-1610,-70,274,291,-277
10:41:27.508,,-84,-89,1066,1190,-1330,-70,276,286,-279
10:41:27.527,,-81,-90,1069,910,-840,-70,270,292,-273
10:41:27.546,,-83,-83,1071,420,-630,-420,268,288,-279
10:41:27.565,,-94,-84,1061,210,-420,-910,268,289,-280
10:41:27.583,,-86,-89,1071,-910,-560,-980,273,286,-273
10:41:27.602,,-84,-103,1052,-1260,-630,-630,273,283,-274
10:41:27.621,,-83,-91,1060,140,-490,-210,265,279,-270
10:41:27.640,,-87,-94,1049,-770,-350,-70,262,279,-253
10:41:27.659,,-94,-88,1069,-1470,-630,70,265,280,-255
10:41:27.677,,-89,-96,1062,-1610,-700,140,265,280,-255
10:41:27.696,,-91,-97,1065,-1190,-350,280,271,286,-261
10:41:27.715,,-84,-97,1066,-1260,-420,280,277,280,-256
10:41:27.734,,-88,-99,1050,-910,-140,210,276,282,-252
10:41:27.752,,-84,-86,1047,-490,140,0,270,277,-252
10:41:27.771,,-88,-94,1050,-1120,210,-280,268,279,-246
10:41:27.790,,-91,-92,1050,-1120,-700,-560,274,282,-243
10:41:27.809,,-93,-101,1051,-420,-1260,-630,276,274,-264
10:41:27.827,,-89,-103,1065,-420,-1540,-280,277,286,-264
10:41:27.846,,-80,-119,1049,-910,-840,210,271,283,-259
10:41:27.865,,-86,-105,1072,350,70,630,265,288,-261
10:41:27.884,,-81,-95,1068,490,-420,420,268,277,-258
10:41:27.903,,-101,-92,1050,840,-770,140,265,286,-255
10:41:27.921,,-82,-76,1032,1050,-280,-280,267,286,-261
10:41:27.940,,-89,-74,1063,630,280,-490,264,294,-273
10:41:27.959,,-86,-97,1053,-1960,-1050,-1190,268,291,-273
10:41:27.978,,-87,-107,1044,-1400,-1050,-1400,264,283,-268
10:41:27.996,,-87,-107,1044,-350,-1120,-700,268,282,-280
10:41:28.015,,-93,-110,1087,-350,-1120,-700,270,283,-274
10:41:28.034,,-97,-135,1038,-630,-1190,-70,279,288,-279
10:41:28.053,,-91,-95,1058,1890,70,700,279,291,-288
10:41:28.071,,-83,-85,1060,1120,350,840,279,295,-291
10:41:28.090,,-86,-90,1072,-70,-980,280,268,297,-301
10:41:28.109,,-87,-82,1057,-560,-1890,-560,270,301,-298
10:41:28.128,,-92,-96,1070,140,-910,-560,261,298,-297
10:41:28.147,,-84,-87,1081,280,-490,-490,264,312,-294
10:41:28.165,,-95,-96,1071,70,-280,-490,265,315,-291
10:41:28.184,,-91,-95,1074,-910,-770,-560,277,309,-289
10:41:28.203,,-83,-109,1045,-1120,-420,-770,264,312,-288
10:41:28.222,,-88,-84,1080,910,-420,-560,274,322,-280
10:41:28.240,,-86,-85,1062,420,-1120,-700,267,327,-279
10:41:28.259,,-88,-87,1060,-1120,-770,-700,276,318,-276
10:41:28.278,,-81,-90,1062,-2170,140,-630,282,333,-279
