epoch,loss,acc,val_loss,val_acc,test_loss,test_acc
0,2.8995535373687744,0.19354838132858276,3.4785284996032715,0.0,4.209458351135254,0.0
1,1.8709431886672974,0.4516128897666931,3.302363872528076,0.0,3.859978199005127,0.0
2,0.8395155072212219,0.7419354915618896,3.28183913230896,0.0,3.306540012359619,0.10000000149011612
3,0.5003988742828369,0.8709677457809448,3.1943776607513428,0.0,3.082674503326416,0.20000000298023224
4,0.13521958887577057,1.0,3.087602138519287,0.0,3.031313419342041,0.20000000298023224
5,0.13504371047019958,1.0,2.9410767555236816,0.125,2.942941188812256,0.20000000298023224
6,0.12531979382038116,0.9354838728904724,2.909541130065918,0.125,2.976306438446045,0.20000000298023224
7,0.049390070140361786,1.0,2.835162401199341,0.125,2.941228151321411,0.20000000298023224
8,0.04371609911322594,1.0,2.853283166885376,0.125,2.9664015769958496,0.20000000298023224
9,0.018427010625600815,1.0,2.859884262084961,0.25,3.006542682647705,0.20000000298023224
10,0.021756477653980255,1.0,2.871253490447998,0.25,3.090973377227783,0.20000000298023224
11,0.018272757530212402,1.0,2.805973529815674,0.25,3.0892446041107178,0.20000000298023224
12,0.01447801012545824,1.0,2.7487964630126953,0.375,3.0999603271484375,0.20000000298023224
13,0.008936716243624687,1.0,2.6927475929260254,0.375,3.0902082920074463,0.20000000298023224
14,0.005329826846718788,1.0,2.6347696781158447,0.375,3.076455593109131,0.20000000298023224
15,0.010615735314786434,1.0,2.598771572113037,0.375,3.070720672607422,0.20000000298023224
16,0.006983098573982716,1.0,2.548992395401001,0.375,3.046875476837158,0.20000000298023224
17,0.008871453814208508,1.0,2.536576509475708,0.25,3.0672171115875244,0.20000000298023224
18,0.005734072998166084,1.0,2.5163445472717285,0.125,3.0741825103759766,0.20000000298023224
19,0.01293999794870615,1.0,2.5138721466064453,0.125,3.09216046333313,0.20000000298023224
20,0.004564318805932999,1.0,2.498547077178955,0.125,3.096644878387451,0.20000000298023224
21,0.009327961131930351,1.0,2.4832630157470703,0.25,3.094026803970337,0.20000000298023224
22,0.0025610686279833317,1.0,2.479874610900879,0.25,3.1019043922424316,0.20000000298023224
23,0.006783241406083107,1.0,2.4654018878936768,0.25,3.091060161590576,0.20000000298023224
24,0.004080555867403746,1.0,2.4452271461486816,0.25,3.069927930831909,0.20000000298023224
25,0.002728948136791587,1.0,2.4311599731445312,0.25,3.057130813598633,0.20000000298023224
26,0.007118058856576681,1.0,2.418081521987915,0.25,3.0478739738464355,0.20000000298023224
27,0.003983800765126944,1.0,2.407776355743408,0.125,3.0349338054656982,0.20000000298023224
28,0.005671789404004812,1.0,2.4038615226745605,0.125,3.0398077964782715,0.20000000298023224
29,0.00324126030318439,1.0,2.417422294616699,0.0,3.0549278259277344,0.20000000298023224
30,0.001837609219364822,1.0,2.424285888671875,0.125,3.071669101715088,0.20000000298023224
31,0.0015251563163474202,1.0,2.430539608001709,0.125,3.091301441192627,0.30000001192092896
32,0.000987188657745719,1.0,2.44999098777771,0.125,3.1210947036743164,0.30000001192092896
33,0.0013839554740116,1.0,2.4652771949768066,0.125,3.148397922515869,0.30000001192092896
34,0.0013674431247636676,1.0,2.480976104736328,0.125,3.17848539352417,0.30000001192092896
35,0.0019099719356745481,1.0,2.4948983192443848,0.125,3.209912061691284,0.30000001192092896
36,0.0013220987748354673,1.0,2.5064706802368164,0.125,3.2343125343322754,0.30000001192092896
37,0.0006227088742889464,1.0,2.518956184387207,0.125,3.266430616378784,0.30000001192092896
38,0.000859658932313323,1.0,2.5305371284484863,0.125,3.288003444671631,0.30000001192092896
39,0.0009014242677949369,1.0,2.5386011600494385,0.125,3.3051929473876953,0.30000001192092896
40,0.0010372643591836095,1.0,2.533430576324463,0.125,3.30993914604187,0.30000001192092896
41,0.0010673945071175694,1.0,2.5313782691955566,0.125,3.318936586380005,0.30000001192092896
42,0.0009736402425915003,1.0,2.5269765853881836,0.125,3.326768398284912,0.30000001192092896
43,0.0020051344763487577,1.0,2.536790132522583,0.125,3.341932773590088,0.30000001192092896
44,0.0006155772716738284,1.0,2.5407488346099854,0.125,3.3551278114318848,0.30000001192092896
45,0.0009762993431650102,1.0,2.5494308471679688,0.125,3.3731064796447754,0.30000001192092896
46,0.0006720442324876785,1.0,2.563432455062866,0.125,3.3951473236083984,0.30000001192092896
47,0.0009307294967584312,1.0,2.57670521736145,0.125,3.417153835296631,0.30000001192092896
48,0.0008158832788467407,1.0,2.5814905166625977,0.125,3.4291350841522217,0.30000001192092896
49,0.00040087333763949573,1.0,2.587491035461426,0.125,3.441011905670166,0.30000001192092896
