epoch,loss,acc,val_loss,val_acc,test_loss,test_acc
0,2.8262741565704346,0.16129031777381897,2.0672144889831543,0.5,3.5469775199890137,0.0
1,2.243507146835327,0.22580644488334656,1.700441837310791,0.5,2.505486011505127,0.0
2,1.715453863143921,0.35483869910240173,2.1415555477142334,0.125,2.452852249145508,0.10000000149011612
3,0.8010246753692627,0.7096773982048035,2.7634291648864746,0.25,2.844125747680664,0.10000000149011612
4,1.11833655834198,0.5806451439857483,3.1268227100372314,0.0,2.9882781505584717,0.10000000149011612
5,0.7028060555458069,0.8064516186714172,2.9526212215423584,0.125,2.611326217651367,0.30000001192092896
6,0.4376640021800995,0.9677419066429138,2.743201732635498,0.125,2.240201711654663,0.30000001192092896
7,0.29675379395484924,1.0,2.589397430419922,0.125,2.1372323036193848,0.30000001192092896
8,0.21722710132598877,0.9677419066429138,2.41178035736084,0.25,2.033564329147339,0.4000000059604645
9,0.19344672560691833,1.0,2.264082431793213,0.375,2.016160488128662,0.4000000059604645
10,0.2041424959897995,1.0,2.147298812866211,0.375,2.044220447540283,0.5
11,0.23738086223602295,0.9677419066429138,2.0265069007873535,0.25,2.046030282974243,0.5
12,0.15189307928085327,1.0,1.9288849830627441,0.375,2.0714991092681885,0.4000000059604645
13,0.10958905518054962,1.0,1.8367100954055786,0.375,2.0682809352874756,0.5
14,0.11260294169187546,1.0,1.7672897577285767,0.375,2.0569260120391846,0.4000000059604645
15,0.11726658791303635,1.0,1.7090799808502197,0.375,2.0267579555511475,0.4000000059604645
16,0.14772076904773712,0.9677419066429138,1.7069450616836548,0.25,1.9771287441253662,0.4000000059604645
17,0.06454447656869888,1.0,1.7104740142822266,0.25,1.9322240352630615,0.4000000059604645
18,0.07822339236736298,1.0,1.6891486644744873,0.375,1.883606195449829,0.4000000059604645
19,0.06876727938652039,1.0,1.6331384181976318,0.375,1.8274396657943726,0.5
20,0.06482063233852386,1.0,1.5648605823516846,0.375,1.7651809453964233,0.6000000238418579
21,0.037877652794122696,1.0,1.4965767860412598,0.5,1.7247024774551392,0.6000000238418579
22,0.049957193434238434,1.0,1.433440923690796,0.5,1.7000524997711182,0.6000000238418579
23,0.062351077795028687,1.0,1.3669317960739136,0.5,1.687390685081482,0.6000000238418579
24,0.04692862927913666,1.0,1.3053748607635498,0.625,1.6856307983398438,0.6000000238418579
25,0.03241710364818573,1.0,1.248558521270752,0.625,1.6815335750579834,0.6000000238418579
26,0.03025820106267929,1.0,1.1979212760925293,0.625,1.6777139902114868,0.6000000238418579
27,0.025436721742153168,1.0,1.15598464012146,0.625,1.6731061935424805,0.6000000238418579
28,0.04691898450255394,1.0,1.1160669326782227,0.625,1.6763334274291992,0.6000000238418579
29,0.03022323176264763,1.0,1.0781993865966797,0.625,1.684194564819336,0.6000000238418579
30,0.020378824323415756,1.0,1.049043893814087,0.625,1.6947014331817627,0.6000000238418579
31,0.031720176339149475,1.0,1.02689790725708,0.625,1.714125633239746,0.6000000238418579
32,0.018173590302467346,1.0,1.006705641746521,0.625,1.7286908626556396,0.6000000238418579
33,0.02193361707031727,1.0,0.9910191297531128,0.625,1.7447761297225952,0.6000000238418579
34,0.02289569564163685,1.0,0.975830078125,0.625,1.7657201290130615,0.6000000238418579
35,0.020068751648068428,1.0,0.9622069001197815,0.625,1.7837836742401123,0.6000000238418579
36,0.01584276370704174,1.0,0.9480190277099609,0.625,1.803492546081543,0.5
37,0.015142000280320644,1.0,0.9404882788658142,0.625,1.8232005834579468,0.5
38,0.023288259282708168,1.0,0.9365541338920593,0.625,1.8357654809951782,0.5
39,0.012585594318807125,1.0,0.9308497905731201,0.625,1.8467124700546265,0.5
40,0.01667618192732334,1.0,0.9251589179039001,0.625,1.854448676109314,0.5
41,0.01551554910838604,1.0,0.92167067527771,0.625,1.8594436645507812,0.5
42,0.015537496656179428,1.0,0.9177463054656982,0.625,1.8633146286010742,0.5
43,0.013227125629782677,1.0,0.9104000329971313,0.625,1.8675470352172852,0.5
44,0.021565821021795273,1.0,0.906070351600647,0.625,1.8752473592758179,0.5
45,0.010213550180196762,1.0,0.9003631472587585,0.625,1.8744032382965088,0.5
46,0.015279778279364109,1.0,0.8951930999755859,0.625,1.8692280054092407,0.5
47,0.017277760431170464,1.0,0.8888179063796997,0.625,1.8605483770370483,0.5
48,0.011461663991212845,1.0,0.8825341463088989,0.625,1.8535140752792358,0.5
49,0.0116577735170722,1.0,0.8788255453109741,0.625,1.8487542867660522,0.5
