Sensors' Acquisition [Hz]: Acc@52.0 Gyro@52.0 Mag@52.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ, GyroX [mdps], GyroY, GyroZ, MagX [mgauss], MagY, MagZ
21:08:17.436,,-240,-179,937,-148610,54740,12880,312,-57,-394
21:08:17.455,,-285,-173,832,-145880,51590,8330,340,-51,-372
21:08:17.474,,-307,-123,797,-145040,43610,4200,351,-51,-375
21:08:17.492,,-288,-177,789,-147210,33460,-1750,370,-40,-354
21:08:17.511,,-292,-248,759,-137550,25620,-8190,382,-40,-354
21:08:17.530,,-308,-271,760,-113400,18480,-15120,400,-40,-343
21:08:17.549,,-325,-255,796,-81200,11200,-21840,402,-36,-346
21:08:17.568,,-336,-251,835,-59430,4130,-28350,406,-37,-330
21:08:17.586,,-357,-280,864,-55790,-700,-35560,411,-36,-327
21:08:17.605,,-380,-354,902,-57540,-3920,-41930,414,-48,-330
21:08:17.624,,-378,-475,919,-53900,-6650,-46480,414,-55,-319
21:08:17.643,,-376,-589,949,-43260,-7280,-47880,420,-60,-316
21:08:17.661,,-365,-663,1011,-27440,-5950,-44660,424,-66,-307
21:08:17.680,,-370,-711,1060,-11480,-2030,-38010,418,-69,-307
21:08:17.699,,-364,-716,1060,770,2170,-30170,420,-72,-309
21:08:17.718,,-375,-711,1039,7980,6930,-21700,411,-69,-316
21:08:17.737,,-391,-657,990,14210,10150,-14490,418,-72,-324
21:08:17.755,,-412,-601,925,20510,11410,-9100,408,-76,-318
21:08:17.774,,-428,-559,892,25550,11270,-5250,405,-67,-318
21:08:17.793,,-435,-531,874,30870,10150,-3150,405,-69,-319
21:08:17.812,,-427,-488,829,35490,7700,-2240,402,-63,-330
21:08:17.830,,-427,-488,829,35490,7700,-2240,387,-69,-333
21:08:17.849,,-414,-481,780,34230,4550,-1820,387,-69,-333
21:08:17.868,,-389,-483,748,29120,1120,-1820,390,-67,-334
21:08:17.887,,-375,-491,741,24500,-1540,-1960,393,-67,-334
21:08:17.906,,-360,-501,745,21910,-3710,-2170,394,-70,-331
21:08:17.924,,-349,-497,743,19950,-5250,-3150,391,-69,-348
21:08:17.943,,-330,-502,736,16310,-7070,-4270,375,-78,-346
21:08:17.962,,-310,-503,752,14420,-8680,-4690,378,-75,-348
21:08:17.981,,-298,-524,794,14560,-9520,-4620,376,-73,-348
21:08:17.999,,-292,-524,832,17570,-9380,-3920,375,-78,-340
21:08:18.018,,-293,-507,859,22050,-9240,-2590,372,-73,-343
21:08:18.037,,-296,-489,886,26390,-9380,-980,373,-76,-343
21:08:18.056,,-295,-471,914,30940,-9450,280,370,-76,-349
21:08:18.074,,-297,-440,946,35980,-8960,980,363,-73,-351
21:08:18.093,,-298,-410,973,38570,-8470,1050,355,-76,-355
21:08:18.112,,-295,-381,992,38220,-8050,490,358,-72,-354
21:08:18.131,,-292,-358,1001,34580,-7490,-490,349,-84,-360
21:08:18.150,,-286,-356,993,28070,-7140,-1540,346,-84,-358
21:08:18.168,,-285,-359,992,23800,-6650,-2100,343,-87,-367
21:08:18.187,,-278,-353,1005,21980,-6790,-2170,337,-82,-357
21:08:18.206,,-276,-351,1016,18830,-5950,-1540,334,-81,-369
21:08:18.225,,-278,-346,1001,14770,-4760,-1120,336,-84,-361
21:08:18.243,,-277,-340,984,9870,-4060,-980,336,-90,-357
21:08:18.262,,-277,-347,970,5110,-3990,-700,334,-87,-367
21:08:18.281,,-279,-357,964,2310,-4130,-420,334,-82,-367
21:08:18.300,,-281,-357,962,2660,-4340,-350,334,-81,-357
21:08:18.319,,-283,-350,958,4830,-4410,-420,330,-88,-354
21:08:18.337,,-285,-343,954,5670,-4760,-280,334,-90,-369
21:08:18.356,,-283,-344,956,4830,-4760,140,330,-88,-364
21:08:18.375,,-277,-351,956,3990,-4690,420,327,-93,-366
21:08:18.394,,-268,-352,951,3360,-4200,560,330,-93,-366
21:08:18.412,,-267,-347,951,2310,-3570,770,339,-88,-364
21:08:18.431,,-268,-351,957,1540,-3220,910,330,-87,-366
21:08:18.450,,-268,-343,965,1680,-3080,1050,328,-93,-366
21:08:18.469,,-267,-339,969,1820,-3080,1260,330,-84,-366
21:08:18.488,,-268,-336,971,2100,-3290,1330,330,-91,-369
