Sensors' Acquisition [Hz]: Acc@52.0 Gyro@52.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ, GyroX [mdps], GyroY, GyroZ
00:03:34.557,,-48,95,1020,-280,3080,-980
00:03:34.576,,-42,92,1020,-560,2870,-910
00:03:34.595,,-41,96,1020,-630,3080,-980
00:03:34.614,,-48,93,1023,-700,3290,-910
00:03:34.633,,-53,92,1023,-630,3150,-770
00:03:34.652,,-50,90,1021,-490,2800,-840
00:03:34.671,,-47,92,1021,-490,2520,-980
00:03:34.689,,-44,94,1021,-700,2520,-1190
00:03:34.708,,-49,98,1021,-630,2590,-1190
00:03:34.727,,-53,96,1021,-560,2380,-770
00:03:34.746,,-52,90,1016,-560,2030,-490
00:03:34.765,,-45,88,1013,-630,1610,-700
00:03:34.784,,-45,90,1010,-420,1820,-1330
00:03:34.803,,-50,98,1010,0,2450,-1680
00:03:34.822,,-51,105,1014,140,2940,-1260
00:03:34.841,,-51,103,1017,-420,3150,-560
00:03:34.859,,-48,95,1018,-1120,3010,-350
00:03:34.878,,-47,90,1019,-1050,2730,-560
00:03:34.897,,-51,96,1020,-350,2660,-910
00:03:34.916,,-50,103,1023,-210,2870,-630
00:03:34.935,,-51,108,1029,-1120,3290,0
00:03:34.954,,-51,99,1036,-2730,3500,280
00:03:34.973,,-48,95,1043,-3150,3220,420
00:03:34.992,,-50,93,1045,-2730,2450,350
00:03:35.010,,-49,97,1032,-2030,1260,350
00:03:35.029,,-54,94,1024,-1890,350,350
00:03:35.048,,-53,95,1011,-1960,70,280
00:03:35.067,,-50,101,1013,-2170,-280,350
00:03:35.086,,-52,111,1009,-1890,-280,420
00:03:35.105,,-51,111,1005,-1330,-280,980
00:03:35.124,,-46,101,1001,-840,-280,1960
00:03:35.143,,-51,95,1004,-980,0,2450
00:03:35.161,,-50,88,1006,-1680,140,2100
00:03:35.180,,-49,89,1009,-1260,140,1540
00:03:35.199,,-46,98,1006,140,70,1400
00:03:35.218,,-46,100,1006,980,280,1890
00:03:35.237,,-41,90,1005,420,700,2520
00:03:35.256,,-38,76,1007,-1260,1190,2380
00:03:35.275,,-28,62,1007,-1540,1610,1330
00:03:35.294,,-32,77,1013,0,2240,140
00:03:35.312,,-40,87,1018,350,2730,-770
00:03:35.331,,-48,90,1019,-210,2940,-770
00:03:35.350,,-45,89,1020,-770,2660,-210
00:03:35.369,,-38,83,1019,-1470,2450,-210
00:03:35.388,,-37,82,1020,-1470,2660,-910
00:03:35.407,,-42,89,1020,-840,2940,-1330
00:03:35.426,,-46,93,1020,-700,2800,-1190
00:03:35.445,,-44,93,1019,-1260,2450,-840
00:03:35.464,,-40,86,1017,-1890,2240,-980
00:03:35.482,,-41,88,1014,-1190,2310,-1540
