Sensors' Acquisition [Hz]: Acc@52.0 Gyro@52.0 Mag@52.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ, GyroX [mdps], GyroY, GyroZ, MagX [mgauss], MagY, MagZ
00:01:14.170,,149,-231,1034,-3430,-1120,-910,-304,-445,-948
00:01:14.189,,151,-240,1030,-3080,-1330,-1050,-304,-444,-945
00:01:14.207,,151,-235,1033,-1750,-1050,-1330,-297,-439,-939
00:01:14.226,,150,-225,1031,-1540,-840,-1470,-306,-442,-948
00:01:14.245,,151,-233,1028,-2380,-1050,-1400,-304,-435,-945
00:01:14.263,,153,-238,1030,-2240,-1050,-1470,-303,-438,-937
00:01:14.282,,151,-227,1032,-1470,-910,-1540,-313,-442,-940
00:01:14.300,,149,-225,1035,-1750,-840,-1260,-301,-444,-942
00:01:14.319,,148,-229,1037,-2660,-910,-1120,-300,-436,-942
00:01:14.338,,147,-232,1035,-2800,-840,-1400,-301,-448,-939
00:01:14.356,,149,-230,1034,-2730,-700,-1750,-306,-441,-948
00:01:14.375,,148,-231,1031,-3080,-630,-1890,-294,-441,-939
00:01:14.393,,150,-238,1031,-3360,-700,-1680,-303,-442,-942
00:01:14.412,,147,-237,1034,-3150,-630,-1470,-301,-447,-943
00:01:14.431,,147,-234,1033,-3360,-630,-1330,-297,-442,-937
00:01:14.449,,147,-236,1030,-3710,-560,-1190,-295,-447,-942
00:01:14.468,,147,-239,1029,-3710,-630,-1190,-300,-439,-948
00:01:14.486,,145,-238,1028,-3010,-700,-1400,-304,-439,-946
00:01:14.505,,145,-236,1026,-2520,-840,-1610,-304,-441,-942
00:01:14.524,,144,-235,1027,-2310,-1190,-1750,-298,-439,-945
00:01:14.542,,147,-242,1034,-1960,-1680,-1890,-298,-439,-945
00:01:14.561,,149,-241,1030,-1190,-2030,-2170,-304,-438,-940
00:01:14.579,,149,-236,1032,-770,-2030,-2100,-307,-441,-942
00:01:14.598,,148,-233,1031,-1470,-1890,-2030,-298,-436,-945
00:01:14.617,,147,-239,1031,-2310,-1540,-1680,-304,-442,-942
00:01:14.635,,146,-244,1034,-2030,-1260,-1470,-297,-439,-945
00:01:14.654,,144,-234,1034,-1400,-980,-1750,-301,-438,-945
00:01:14.672,,149,-234,1033,-1960,-910,-1820,-306,-436,-942
00:01:14.691,,151,-236,1029,-2450,-1050,-1820,-294,-438,-939
00:01:14.710,,151,-241,1028,-2450,-1260,-1820,-303,-445,-942
00:01:14.728,,154,-238,1031,-1610,-1190,-1890,-295,-444,-946
00:01:14.747,,151,-233,1030,-1400,-1120,-1820,-304,-438,-943
00:01:14.765,,149,-234,1028,-1680,-1260,-1820,-301,-441,-945
00:01:14.784,,145,-234,1030,-1820,-1330,-1890,-298,-433,-940
00:01:14.803,,143,-236,1032,-1890,-1540,-1890,-300,-442,-934
00:01:14.821,,144,-236,1030,-2170,-1820,-1890,-300,-442,-937
00:01:14.840,,148,-240,1033,-2520,-1960,-1610,-312,-444,-945
00:01:14.858,,152,-239,1032,-2380,-1820,-1680,-300,-448,-949
00:01:14.877,,152,-236,1031,-2590,-1400,-1540,-298,-441,-945
00:01:14.896,,152,-234,1032,-3220,-1050,-1470,-301,-441,-948
00:01:14.914,,151,-240,1031,-3360,-1120,-1400,-301,-444,-940
00:01:14.933,,148,-242,1028,-2030,-1260,-1540,-300,-435,-943
00:01:14.951,,150,-234,1039,-630,-1330,-1960,-304,-436,-943
00:01:14.970,,152,-229,1030,-840,-1540,-2380,-306,-442,-937
00:01:14.989,,151,-236,1031,-1470,-1540,-2170,-300,-444,-939
00:01:15.007,,152,-238,1031,-1890,-1190,-2170,-298,-438,-946
00:01:15.026,,149,-239,1031,-1750,-560,-2030,-313,-444,-933
00:01:15.044,,147,-240,1028,-1400,-420,-1890,-304,-444,-943
00:01:15.063,,144,-235,1026,-1260,-560,-1960,-297,-447,-939
00:01:15.082,,144,-232,1026,-1680,-910,-1890,-307,-438,-936
00:01:15.100,,147,-240,1028,-2240,-1330,-1750,-289,-435,-940
00:01:15.119,,148,-244,1030,-2030,-1470,-1610,-310,-444,-948
00:01:15.137,,148,-243,1030,-1330,-1540,-1470,-303,-448,-943
00:01:15.156,,147,-237,1029,-910,-1680,-1330,-298,-439,-945
00:01:15.175,,147,-235,1028,-910,-1820,-1260,-295,-432,-943
00:01:15.193,,148,-231,1031,-1050,-1890,-1190,-295,-432,-943
00:01:15.212,,150,-234,1033,-1540,-1960,-1190,-300,-432,-936
00:01:15.230,,150,-239,1033,-1680,-1890,-1330,-298,-445,-942
00:01:15.249,,150,-239,1033,-1050,-1680,-1610,-300,-441,-945
00:01:15.268,,150,-235,1032,-1050,-1680,-1610,-300,-441,-943
00:01:15.286,,149,-229,1033,-980,-1540,-1680,-301,-441,-940
00:01:15.305,,152,-233,1031,-1610,-1610,-1540,-300,-445,-940
00:01:15.323,,151,-238,1031,-2100,-1470,-1470,-295,-445,-948
00:01:15.342,,151,-240,1031,-1960,-1330,-1540,-309,-435,-945
00:01:15.361,,150,-234,1029,-1540,-1400,-1540,-304,-442,-939
00:01:15.379,,150,-234,1029,-1610,-1610,-1610,-300,-442,-945
00:01:15.398,,152,-232,1031,-1540,-1680,-1610,-297,-435,-942
00:01:15.416,,152,-234,1030,-1680,-1610,-1680,-300,-442,-942
00:01:15.435,,151,-234,1030,-1540,-1400,-1680,-298,-441,-940
00:01:15.454,,151,-233,1035,-1470,-1260,-1540,-307,-438,-946
00:01:15.472,,149,-234,1033,-1820,-1260,-1470,-303,-442,-939
00:01:15.491,,147,-236,1029,-1890,-1260,-1470,-303,-442,-939
00:01:15.509,,147,-232,1029,-1820,-1470,-1610,-301,-445,-945
00:01:15.528,,149,-235,1030,-2170,-1680,-1750,-312,-447,-940
00:01:15.547,,153,-239,1031,-2100,-1820,-1820,-298,-450,-942
00:01:15.565,,155,-238,1033,-1820,-1680,-1750,-295,-445,-942
00:01:15.584,,154,-235,1031,-1610,-1400,-1610,-309,-450,-942
00:01:15.602,,151,-232,1030,-1680,-1260,-1470,-304,-441,-940
00:01:15.621,,149,-230,1030,-1820,-1330,-1400,-295,-439,-942
00:01:15.640,,148,-232,1028,-1960,-1470,-1610,-301,-438,-936
00:01:15.658,,150,-233,1029,-1680,-1680,-1820,-297,-439,-943
00:01:15.661,>gest1_still,,,,,,,,,
00:01:15.677,,153,-231,1030,-1470,-1610,-2030,-304,-441,-939
00:01:15.695,,155,-233,1032,-1820,-1470,-1960,-307,-444,-945
00:01:15.714,,154,-239,1033,-2170,-1330,-1820,-310,-442,-942
00:01:15.733,,151,-240,1033,-1750,-1330,-1750,-304,-444,-931
00:01:15.751,,149,-236,1032,-1400,-1400,-1750,-297,-442,-936
00:01:15.770,,149,-234,1029,-1470,-1680,-1750,-307,-450,-942
00:01:15.788,,153,-236,1030,-1820,-1680,-1610,-300,-444,-942
00:01:15.807,,153,-236,1030,-1960,-1400,-1330,-294,-448,-939
00:01:15.826,,155,-238,1030,-1750,-1050,-1260,-300,-439,-937
00:01:15.844,,153,-232,1028,-1190,-910,-1400,-300,-439,-937
00:01:15.863,,152,-225,1027,-1120,-980,-1470,-309,-436,-933
00:01:15.881,,151,-229,1028,-1680,-1190,-1470,-300,-445,-939
00:01:15.900,,152,-234,1031,-1680,-1540,-1470,-301,-435,-945
00:01:15.919,,150,-235,1034,-1260,-1540,-1610,-303,-445,-946
00:01:15.937,,151,-233,1034,-1050,-1470,-1680,-301,-447,-945
00:01:15.956,,151,-234,1032,-1120,-1400,-1680,-303,-442,-942
00:01:15.974,,150,-234,1029,-1190,-1190,-1470,-304,-444,-942
00:01:15.993,,150,-231,1029,-1540,-910,-1330,-300,-441,-943
00:01:16.012,,150,-232,1028,-1750,-1050,-1260,-306,-432,-937
00:01:16.030,,152,-235,1028,-1540,-1260,-1330,-304,-442,-936
00:01:16.049,,153,-232,1030,-910,-1330,-1610,-300,-438,-940
00:01:16.067,,152,-224,1031,-840,-1470,-1680,-301,-450,-946
00:01:16.086,,152,-227,1033,-1890,-1610,-1470,-304,-447,-942
00:01:16.105,,154,-236,1033,-2590,-1610,-1260,-303,-447,-933
00:01:16.123,,154,-235,1034,-2030,-1260,-1330,-304,-441,-945
00:01:16.142,,153,-229,1032,-1540,-840,-1540,-304,-444,-945
00:01:16.160,,150,-228,1029,-1960,-770,-1540,-307,-444,-940
00:01:16.179,,151,-232,1026,-2170,-1050,-1540,-309,-442,-937
00:01:16.198,,150,-233,1029,-2030,-1050,-1470,-304,-444,-945
00:01:16.216,,149,-232,1029,-2170,-1190,-1470,-298,-447,-934
00:01:16.235,,149,-239,1028,-2170,-1470,-1470,-309,-447,-939
00:01:16.253,,151,-239,1028,-1540,-1610,-1400,-307,-444,-945
00:01:16.272,,150,-231,1028,-1120,-1470,-1330,-306,-439,-942
00:01:16.291,,151,-229,1033,-1680,-1540,-1050,-309,-438,-939
00:01:16.309,,153,-236,1033,-2170,-1610,-910,-304,-442,-945
00:01:16.328,,153,-232,1032,-1610,-1540,-1120,-292,-450,-939
00:01:16.346,,153,-229,1029,-1190,-1400,-1330,-304,-445,-937
00:01:16.365,,153,-227,1028,-1260,-1330,-1400,-306,-444,-940
00:01:16.384,,151,-227,1028,-1750,-1260,-1470,-300,-435,-939
00:01:16.402,,150,-235,1029,-1960,-1540,-1540,-301,-447,-937
00:01:16.421,,152,-238,1030,-1470,-1960,-1680,-298,-436,-945
00:01:16.439,,152,-237,1029,-560,-2100,-1540,-306,-433,-943
00:01:16.458,,152,-231,1033,-70,-1890,-1330,-307,-432,-940
00:01:16.477,,154,-231,1036,-70,-1470,-1400,-306,-442,-945
