Sensors' Acquisition [Hz]: Acc@52.0 Gyro@52.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ, GyroX [mdps], GyroY, GyroZ
00:12:24.896,,-238,-46,993,-700,1540,-1540
00:12:24.915,,-236,-43,989,-770,1470,-1260
00:12:24.934,,-227,-45,987,-1190,1540,-840
00:12:24.952,,-227,-44,991,-840,2170,-700
00:12:24.971,,-238,-44,996,-420,2730,-770
00:12:24.990,,-241,-45,996,-280,2800,-630
00:12:25.009,,-236,-45,995,-210,2450,-280
00:12:25.028,,-230,-40,998,-140,2520,-140
00:12:25.047,,-239,-40,1003,-910,2660,-350
00:12:25.066,,-242,-48,1002,-1610,2450,-560
00:12:25.085,,-236,-47,998,-140,1610,-70
00:12:25.104,,-231,-40,998,-630,1890,210
00:12:25.122,,-237,-48,997,-1330,2170,490
00:12:25.141,,-242,-53,993,-910,2030,700
00:12:25.160,,-231,-50,992,0,1820,840
00:12:25.179,,-223,-45,993,70,2030,280
00:12:25.198,,-234,-51,991,-770,2380,-280
00:12:25.217,,-237,-52,988,-630,2520,-630
00:12:25.236,,-235,-47,990,-490,2520,-560
00:12:25.255,,-230,-48,993,-980,2730,-490
00:12:25.274,,-237,-50,996,-1190,2800,-630
00:12:25.292,,-239,-46,999,-980,2450,-700
00:12:25.311,,-239,-46,999,-1470,1960,-770
00:12:25.330,,-236,-49,997,-1820,1610,-910
00:12:25.349,,-237,-45,998,-1330,1610,-980
00:12:25.368,,-240,-43,999,-1400,1820,-840
00:12:25.387,,-238,-46,997,-1890,1750,-560
00:12:25.406,,-229,-47,997,-1540,1820,-420
00:12:25.425,,-228,-42,1003,-560,2170,-560
00:12:25.444,,-241,-43,1006,-350,2310,-560
00:12:25.462,,-241,-43,1002,-560,1820,-210
00:12:25.481,,-235,-45,998,-980,1050,210
00:12:25.500,,-232,-47,993,-980,700,350
00:12:25.519,,-235,-48,991,-770,910,280
00:12:25.538,,-233,-47,988,-910,1330,70
00:12:25.557,,-233,-51,986,-1260,1680,-140
00:12:25.576,,-230,-52,986,-840,1890,-140
00:12:25.595,,-232,-46,989,-70,2310,-210
00:12:25.614,,-237,-44,992,-350,2590,-280
00:12:25.632,,-235,-48,993,-1400,2520,-280
00:12:25.651,,-231,-53,994,-1470,2380,-280
00:12:25.670,,-231,-46,996,-490,2520,-280
00:12:25.689,,-234,-39,1000,-630,2800,-350
00:12:25.708,,-237,-46,1000,-1610,2590,-280
00:12:25.727,,-235,-52,997,-1610,1960,-210
00:12:25.746,,-227,-46,996,-630,1750,-280
00:12:25.765,,-233,-42,996,-770,2030,-350
00:12:25.784,,-234,-48,998,-1540,2450,-140
00:12:25.803,,-235,-51,999,-1260,2520,-70
00:12:25.821,,-237,-46,999,-490,2170,-210
00:12:25.840,,-234,-42,997,-700,1820,-420
00:12:25.859,,-233,-45,995,-1470,1680,-490
00:12:25.878,,-232,-48,995,-1470,1820,-560
00:12:25.897,,-231,-42,994,-770,1960,-490
00:12:25.916,,-233,-44,992,-840,1960,-140
00:12:25.935,,-230,-47,994,-840,2170,140
00:12:25.954,,-237,-43,996,-210,2450,140
00:12:25.973,,-242,-39,999,-560,2380,0
00:12:25.991,,-233,-45,994,-1890,1960,-140
00:12:26.010,,-226,-53,990,-1680,1680,-280
00:12:26.029,,-228,-46,991,140,2100,-210
00:12:26.048,,-237,-38,994,280,2660,210
00:12:26.067,,-236,-46,996,-1470,2730,420
00:12:26.086,,-236,-55,996,-1820,2380,210
00:12:26.105,,-237,-51,997,-350,2100,-210
00:12:26.124,,-239,-42,998,0,1890,-490
00:12:26.143,,-237,-43,995,-1470,1750,-560
00:12:26.161,,-233,-50,993,-2590,1540,-630
00:12:26.180,,-234,-52,992,-1820,1610,-560
00:12:26.199,,-237,-44,995,-770,1960,-280
00:12:26.218,,-238,-43,995,-1190,2170,-140
00:12:26.237,,-235,-48,994,-1750,2170,-350
00:12:26.256,,-229,-46,996,-1120,2380,-630
00:12:26.275,,-235,-40,999,-350,2660,-700
00:12:26.294,,-234,-37,1001,-490,2730,-420
00:12:26.313,,-234,-41,1001,-1120,2310,-140
00:12:26.331,,-231,-45,1000,-1120,1890,140
00:12:26.350,,-232,-45,998,-490,1820,350
00:12:26.369,,-236,-45,993,-350,1820,490
00:12:26.381,>gest4_cross_right,,,,,,
00:12:26.388,,-233,-49,990,-770,1750,630
00:12:26.407,,-227,-50,990,-1050,1960,420
00:12:26.426,,-231,-52,994,-980,2450,-140
00:12:26.445,,-240,-51,998,-700,2660,-560
00:12:26.464,,-236,-49,997,-630,2380,-630
00:12:26.483,,-230,-48,996,-700,2030,-770
00:12:26.501,,-228,-44,996,-700,2030,-910
00:12:26.520,,-233,-44,996,-1050,2240,-980
00:12:26.539,,-236,-45,996,-1330,2380,-840
00:12:26.558,,-231,-43,998,-1260,2240,-770
00:12:26.577,,-232,-40,1000,-1120,2030,-770
00:12:26.596,,-238,-44,998,-1120,1820,-700
