Sensors' Acquisition [Hz]: Acc@52.0 Gyro@52.0 Mag@52.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ, GyroX [mdps], GyroY, GyroZ, MagX [mgauss], MagY, MagZ
21:05:20.729,,-189,185,1030,37450,-52710,-65520,156,-121,-397
21:05:20.748,,-195,214,1058,149590,-240310,-236670,151,-117,-393
21:05:20.766,,-195,214,1058,149590,-240310,-236670,160,-118,-388
21:05:20.785,,-198,229,1061,7700,-28700,-17290,162,-118,-403
21:05:20.804,,-197,251,1060,-6160,2170,70,154,-112,-402
21:05:20.823,,-192,271,1062,-5320,2100,840,154,-111,-399
21:05:20.842,,-193,273,1062,-4970,2100,1330,151,-111,-408
21:05:20.860,,-200,272,1057,-2940,1890,1260,156,-126,-402
21:05:20.879,,-200,272,1052,420,1190,1050,160,-108,-408
21:05:20.898,,-195,285,1037,2450,280,700,148,-115,-402
21:05:20.917,,-189,278,1028,2310,-560,350,157,-120,-393
21:05:20.935,,-177,258,1024,1890,-1190,-210,157,-115,-396
21:05:20.954,,-166,246,1011,3150,-1750,-1120,160,-117,-402
21:05:20.973,,-155,236,1000,3990,-2030,-2450,157,-123,-403
21:05:20.992,,-149,214,991,3290,-2450,-3500,147,-112,-409
21:05:21.010,,-146,193,995,3570,-3150,-3780,157,-117,-400
21:05:21.029,,-145,189,996,4200,-3780,-3780,147,-117,-402
21:05:21.048,,-144,183,990,3570,-4340,-3220,153,-118,-394
21:05:21.067,,-144,184,998,2450,-4690,-2660,145,-118,-402
21:05:21.086,,-143,186,1000,2030,-4760,-2100,150,-109,-399
21:05:21.104,,-141,195,1004,980,-4690,-2030,144,-124,-396
21:05:21.123,,-145,190,1008,-350,-4410,-2520,156,-118,-393
21:05:21.142,,-148,191,1015,-350,-4340,-2870,154,-121,-399
21:05:21.161,,-151,201,1021,-840,-4060,-2870,151,-117,-397
21:05:21.179,,-152,196,1017,-1610,-3710,-2800,151,-118,-390
21:05:21.198,,-153,202,1029,-1680,-3220,-2730,154,-114,-399
21:05:21.217,,-157,209,1022,-1470,-2870,-2660,150,-121,-406
21:05:21.236,,-156,210,1022,-1750,-2660,-2870,154,-124,-399
21:05:21.255,,-159,211,1026,-2310,-2240,-3010,154,-124,-399
21:05:21.273,,-159,204,1023,-2310,-2240,-2730,154,-126,-400
21:05:21.292,,-157,205,1021,-1820,-2310,-2450,148,-121,-399
21:05:21.311,,-154,205,1013,-1470,-2520,-2310,150,-127,-400
21:05:21.330,,-152,210,1012,-1470,-2660,-2240,150,-129,-411
21:05:21.348,,-154,210,1009,-2170,-2940,-2100,156,-123,-394
21:05:21.367,,-152,208,1013,-3220,-3430,-1960,154,-124,-399
21:05:21.386,,-151,203,1009,-3150,-4060,-2030,151,-120,-403
21:05:21.405,,-152,209,1018,-2030,-4690,-2100,156,-121,-394
21:05:21.424,,-148,220,1019,-1960,-5110,-2380,148,-126,-396
21:05:21.442,,-144,215,1023,-3290,-5180,-2730,150,-124,-399
21:05:21.461,,-138,203,1027,-3360,-5250,-3080,148,-124,-400
21:05:21.480,,-139,208,1028,-2380,-4760,-3430,148,-126,-397
21:05:21.499,,-141,207,1033,-2800,-4200,-3780,151,-124,-388
21:05:21.517,,-138,195,1035,-3570,-3990,-3850,151,-132,-397
21:05:21.536,,-137,189,1035,-2730,-3780,-3780,156,-126,-388
21:05:21.555,,-137,194,1038,-1610,-3500,-3360,156,-133,-391
21:05:21.574,,-133,190,1040,-2380,-3080,-3010,147,-127,-390
21:05:21.593,,-133,183,1037,-3150,-2590,-2730,156,-133,-391
21:05:21.611,,-136,184,1036,-3150,-2030,-2450,154,-132,-385
21:05:21.630,,-135,184,1029,-3080,-1750,-2450,151,-136,-393
21:05:21.649,,-139,183,1026,-3010,-1260,-2170,156,-130,-385
21:05:21.668,,-142,181,1026,-2450,-980,-1750,153,-124,-384
21:05:21.686,,-142,189,1024,-1610,-910,-1540,151,-130,-396
21:05:21.705,,-144,190,1023,-1750,-910,-1400,154,-130,-390
21:05:21.724,,-140,186,1028,-2100,-1260,-1470,150,-135,-394
21:05:21.743,,-143,186,1026,-1960,-1190,-1680,150,-126,-393
21:05:21.761,,-142,186,1032,-1960,-1050,-1680,153,-130,-402
21:05:21.780,,-142,181,1033,-2030,-840,-1400,156,-129,-394
21:05:21.799,,-136,181,1035,-1680,-700,-1050,162,-135,-388
21:05:21.818,,-131,186,1026,-1120,-420,-770,153,-124,-387
21:05:21.837,,-131,184,1026,-1750,210,-840,154,-130,-397
21:05:21.855,,-136,177,1024,-2310,420,-910,154,-124,-390
21:05:21.874,,-136,175,1028,-2170,280,-910,162,-129,-390
21:05:21.893,,-134,177,1023,-1610,-210,-630,148,-133,-393
21:05:21.912,,-129,181,1022,-1120,-560,-350,147,-129,-391
21:05:21.930,,-128,185,1018,-1190,-700,-280,157,-138,-393
21:05:21.949,,-132,182,1020,-1540,-700,-420,159,-127,-388
21:05:21.968,,-134,184,1021,-1610,-840,-700,151,-123,-391
21:05:21.987,,-132,185,1020,-1470,-1330,-980,162,-132,-382
21:05:22.006,,-133,188,1023,-1680,-1470,-1120,153,-127,-399
21:05:22.024,,-133,188,1023,-2100,-1750,-1330,163,-126,-400
21:05:22.043,,-137,186,1025,-1960,-2170,-1610,156,-133,-399
21:05:22.062,,-138,188,1035,-1260,-2380,-1820,157,-126,-400
21:05:22.081,,-136,192,1038,-840,-2590,-1960,160,-130,-399
21:05:22.099,,-136,188,1038,-700,-2590,-2100,159,-127,-400
