Sensors' Acquisition [Hz]: Acc@52.0 Gyro@52.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ, GyroX [mdps], GyroY, GyroZ
00:04:15.669,,-102,225,990,-1260,2030,-490
00:04:15.688,,-104,225,993,-1260,2310,-560
00:04:15.707,,-107,226,995,-1120,2240,-420
00:04:15.726,,-104,226,993,-1050,2030,0
00:04:15.745,,-98,219,991,-1330,1610,210
00:04:15.764,,-94,215,989,-1400,1540,-70
00:04:15.783,,-94,216,988,-1330,1890,-630
00:04:15.801,,-103,221,988,-1050,2450,-910
00:04:15.820,,-109,225,991,-910,2590,-770
00:04:15.839,,-106,224,994,-1120,2100,-420
00:04:15.858,,-100,220,993,-1190,1680,-350
00:04:15.877,,-99,220,990,-630,1610,-420
00:04:15.896,,-98,221,988,-280,1540,-630
00:04:15.915,,-98,228,988,-280,1680,-560
00:04:15.934,,-98,227,988,-1050,1960,-420
00:04:15.953,,-101,223,991,-1610,2310,-210
00:04:15.971,,-103,219,989,-1330,2380,0
00:04:15.990,,-100,219,988,-840,2170,0
00:04:16.009,,-96,220,987,-840,2100,-140
00:04:16.028,,-99,219,987,-1120,2310,-420
00:04:16.047,,-102,223,988,-1120,2590,-560
00:04:16.066,,-108,223,991,-1330,2870,-280
00:04:16.085,,-107,218,989,-1610,2730,70
00:04:16.104,,-104,213,990,-1610,2520,70
00:04:16.122,,-98,213,992,-1400,2450,-420
00:04:16.141,,-103,216,995,-1190,2730,-840
00:04:16.160,,-108,218,996,-1050,2590,-980
00:04:16.179,,-106,218,995,-1050,2100,-700
00:04:16.198,,-100,218,989,-980,1680,-700
00:04:16.217,,-96,217,988,-1050,1680,-1120
00:04:16.236,,-99,223,987,-630,2100,-1330
00:04:16.255,,-108,228,989,-980,2310,-1190
00:04:16.273,,-107,220,988,-1540,1960,-980
00:04:16.292,,-100,218,988,-1190,1750,-840
00:04:16.311,,-96,221,990,-700,2030,-1050
00:04:16.330,,-99,226,994,-630,2450,-1260
00:04:16.349,,-104,225,993,-770,1610,-420
00:04:16.368,,-99,222,983,-700,1190,-140
00:04:16.387,,-94,222,982,-700,1610,-210
00:04:16.406,,-98,222,984,-910,2310,-420
00:04:16.424,,-105,223,986,-980,2660,-490
00:04:16.443,,-105,225,988,-700,2590,-280
00:04:16.462,,-103,226,990,-840,2450,140
00:04:16.481,,-100,218,989,-1330,2310,280
00:04:16.500,,-99,216,989,-1050,2240,70
00:04:16.519,,-105,221,990,-560,2310,-350
00:04:16.538,,-106,225,988,-420,2380,-490
00:04:16.557,,-108,226,992,-700,2520,-280
00:04:16.576,,-106,222,993,-1050,2380,-140
00:04:16.594,,-105,215,994,-1050,2100,-210
00:04:16.613,,-100,216,990,-560,1680,-280
00:04:16.632,,-98,221,990,-350,1610,-490
00:04:16.651,,-99,220,989,-1050,2030,-770
00:04:16.670,,-109,219,991,-1470,2450,-840
00:04:16.689,,-109,219,989,-1330,2310,-700
00:04:16.708,,-101,219,989,-1120,1890,-700
00:04:16.727,,-99,221,988,-910,1890,-910
00:04:16.745,,-100,222,989,-980,2100,-1050
00:04:16.764,,-102,223,987,-1050,2170,-980
00:04:16.783,,-101,227,986,-1050,2030,-840
00:04:16.802,,-100,226,987,-1260,2240,-630
00:04:16.821,,-101,222,987,-1470,2520,-350
00:04:16.840,,-101,218,988,-1610,2590,-140
00:04:16.859,,-99,215,987,-1330,2450,-210
00:04:16.878,,-99,217,986,-980,2450,-490
00:04:16.896,,-101,224,989,-770,2660,-630
00:04:16.915,,-106,223,989,-1050,2730,-490
00:04:16.934,,-108,218,991,-1190,2520,-210
00:04:16.953,,-100,215,989,-840,2030,-140
00:04:16.972,,-99,218,989,-490,2170,-350
00:04:16.991,,-103,216,989,-630,2380,-490
00:04:17.010,,-104,217,988,-840,2380,-490
00:04:17.029,,-106,213,986,-910,2100,-700
00:04:17.047,,-107,215,985,-490,2170,-1050
00:04:17.066,,-104,219,986,-140,2450,-1120
00:04:17.085,,-104,224,988,-350,2800,-1050
00:04:17.104,,-104,217,990,-1190,2870,-1120
00:04:17.123,,-109,214,991,-1120,2800,-1190
