Sensors' Acquisition [Hz]: Acc@52.0 Gyro@52.0 Mag@52.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ, GyroX [mdps], GyroY, GyroZ, MagX [mgauss], MagY, MagZ
00:03:23.060,,-148,-20,1060,-1750,-1470,-770,-406,-412,-291
00:03:23.079,,-142,-16,1061,-1680,-1330,-840,-399,-420,-288
00:03:23.097,,-140,-11,1065,-2100,-840,-1050,-396,-424,-291
00:03:23.116,,-144,-9,1064,-2730,-420,-1190,-396,-412,-297
00:03:23.135,,-150,-1,1059,-2450,-420,-1400,-394,-424,-291
00:03:23.153,,-154,1,1057,-2100,-700,-1680,-391,-427,-295
00:03:23.172,,-155,-2,1055,-1400,-1260,-2030,-400,-414,-292
00:03:23.190,,-153,-3,1059,-700,-1540,-2310,-394,-420,-289
00:03:23.209,,-153,-7,1062,-770,-1960,-2380,-394,-420,-295
00:03:23.227,,-151,-13,1058,-700,-2310,-2310,-391,-415,-294
00:03:23.246,,-151,-8,1056,-210,-2310,-2240,-393,-417,-295
00:03:23.264,,-150,-10,1050,-770,-1960,-2030,-399,-426,-298
00:03:23.283,,-152,-21,1048,-1470,-1540,-1610,-408,-414,-292
00:03:23.301,,-158,-21,1046,-1470,-1330,-1400,-397,-417,-288
00:03:23.320,,-160,-21,1043,-1540,-1680,-1260,-397,-417,-288
00:03:23.338,,-162,-24,1042,-1750,-2310,-980,-402,-426,-288
00:03:23.357,,-156,-24,1051,-1190,-2870,-770,-394,-411,-294
00:03:23.375,,-146,-15,1060,-770,-2870,-630,-403,-421,-285
00:03:23.394,,-140,-9,1065,-1260,-2240,-700,-390,-414,-292
00:03:23.413,,-141,-7,1067,-1750,-1120,-1050,-394,-417,-288
00:03:23.431,,-146,-1,1062,-1960,-280,-1680,-399,-417,-289
00:03:23.450,,-155,0,1059,-2170,-140,-2100,-387,-420,-292
00:03:23.468,,-160,-5,1057,-2520,-700,-2030,-402,-426,-298
00:03:23.487,,-166,-8,1059,-1960,-1470,-1540,-396,-415,-289
00:03:23.505,,-167,-5,1061,-700,-2310,-980,-393,-417,-289
00:03:23.524,,-163,-2,1063,280,-2590,-630,-396,-420,-291
00:03:23.542,,-162,0,1066,210,-2100,-560,-396,-418,-294
00:03:23.561,,-162,-5,1062,-770,-1330,-840,-393,-421,-286
00:03:23.579,,-164,-14,1053,-1330,-700,-1120,-399,-421,-289
00:03:23.598,,-165,-21,1045,-1190,-420,-1260,-393,-418,-292
00:03:23.616,,-163,-28,1043,-1470,-560,-980,-402,-417,-289
00:03:23.635,,-158,-34,1042,-2030,-700,-420,-391,-420,-294
00:03:23.653,,-156,-33,1045,-2520,-840,420,-397,-415,-291
00:03:23.672,,-150,-31,1044,-2870,-1120,910,-393,-421,-289
00:03:23.690,,-146,-22,1045,-2940,-1050,1120,-405,-417,-294
00:03:23.709,,-141,-16,1052,-3500,-1050,1120,-397,-418,-289
00:03:23.728,,-136,-13,1056,-4130,-1190,1120,-400,-421,-294
00:03:23.746,,-133,-6,1059,-3990,-1190,840,-397,-412,-291
00:03:23.765,,-132,4,1062,-4130,-980,630,-393,-426,-295
00:03:23.783,,-135,6,1060,-4480,-1050,280,-400,-424,-294
00:03:23.802,,-141,12,1062,-3850,-1190,-140,-400,-424,-294
00:03:23.820,,-141,12,1062,-3850,-1190,-140,-397,-421,-288
00:03:23.839,,-148,17,1061,-3010,-1470,-770,-396,-426,-292
00:03:23.857,,-152,14,1060,-2380,-2030,-1190,-406,-427,-303
00:03:23.876,,-152,9,1066,-1540,-2590,-1610,-397,-415,-295
00:03:23.894,,-153,5,1063,-700,-2870,-1960,-397,-424,-295
00:03:23.913,,-151,0,1067,-210,-2800,-2100,-393,-418,-292
00:03:23.931,,-151,-5,1067,-210,-2450,-2170,-402,-427,-291
00:03:23.950,,-154,-11,1061,-350,-1610,-2240,-402,-418,-295
00:03:23.968,,-158,-12,1060,-770,-980,-2240,-399,-420,-289
00:03:23.987,,-156,-20,1055,-1400,-840,-2170,-402,-420,-297
00:03:24.005,,-156,-20,1048,-1050,-910,-2100,-396,-423,-289
00:03:24.024,,-153,-13,1049,-910,-980,-1960,-397,-421,-285
00:03:24.042,,-153,-14,1044,-1750,-980,-1540,-393,-435,-285
00:03:24.061,,-154,-12,1043,-1960,-980,-1190,-403,-430,-289
00:03:24.080,,-155,-3,1044,-1890,-1120,-1120,-399,-421,-292
00:03:24.098,,-156,-2,1039,-2100,-1470,-1120,-399,-420,-286
00:03:24.117,,-157,-2,1042,-2100,-1610,-1260,-402,-423,-286
00:03:24.135,,-157,-3,1043,-2310,-1680,-1540,-394,-420,-291
00:03:24.154,,-157,-7,1044,-2800,-1820,-1680,-397,-424,-294
00:03:24.172,,-156,-11,1048,-3150,-2170,-1750,-396,-427,-282
00:03:24.191,,-154,-11,1055,-3220,-2310,-1400,-405,-424,-292
00:03:24.209,,-148,-13,1064,-3290,-2380,-1190,-400,-421,-297
00:03:24.228,,-150,-9,1064,-3080,-1960,-1050,-402,-412,-294
00:03:24.246,,-153,-3,1064,-3010,-1400,-980,-408,-429,-298
