Sensors' Acquisition [Hz]: Acc@52.0 Gyro@52.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ, GyroX [mdps], GyroY, GyroZ
00:01:36.128,,-54,177,1002,-1540,3010,-770
00:01:36.147,,-55,177,1002,-1610,3010,-770
00:01:36.166,,-54,178,1003,-1610,2590,-980
00:01:36.185,,-54,181,1001,-1400,2380,-1190
00:01:36.203,,-55,186,1001,-1330,2450,-1120
00:01:36.222,,-57,188,1000,-910,2590,-910
00:01:36.241,,-55,192,1003,-560,2520,-700
00:01:36.260,,-56,191,1003,-980,2590,-630
00:01:36.279,,-54,191,1004,-1400,2730,-350
00:01:36.298,,-53,185,1009,-1750,2590,70
00:01:36.317,,-53,180,1009,-1610,2310,210
00:01:36.336,,-54,179,1008,-1260,2100,-70
00:01:36.355,,-51,181,1007,-910,1890,-210
00:01:36.373,,-52,182,1008,-840,1890,-140
00:01:36.392,,-55,178,1009,-1330,1890,-210
00:01:36.411,,-58,177,1008,-1400,1680,-210
00:01:36.430,,-54,177,1004,-1330,1190,-140
00:01:36.449,,-50,175,999,-1120,1050,-280
00:01:36.468,,-50,177,998,-630,1400,-700
00:01:36.487,,-54,180,997,-490,1750,-980
00:01:36.506,,-56,189,996,-490,1960,-980
00:01:36.525,,-59,191,998,-1050,2100,-700
00:01:36.543,,-56,185,998,-1750,2100,-490
00:01:36.562,,-51,181,998,-1400,2240,-210
00:01:36.581,,-49,180,999,-1120,2450,-280
00:01:36.600,,-49,179,1003,-1470,2590,-420
00:01:36.619,,-50,176,1005,-1260,2520,-560
00:01:36.638,,-55,185,1007,-420,2450,-560
00:01:36.657,,-56,188,1008,-700,2240,-420
00:01:36.676,,-54,184,1005,-1120,2030,-70
00:01:36.694,,-52,176,1005,-1330,2030,140
00:01:36.713,,-49,168,1003,-1260,2170,-210
00:01:36.732,,-53,162,1003,-840,2310,-630
00:01:36.751,,-57,158,993,-210,2170,-1050
