Sensors' Acquisition [Hz]: Acc@52.0 Gyro@52.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ, GyroX [mdps], GyroY, GyroZ
00:12:33.674,,-274,-47,990,-2380,1960,-3850
00:12:33.693,,-269,-44,989,-2800,1890,-3920
00:12:33.711,,-268,-47,988,-1890,2030,-2870
00:12:33.730,,-270,-50,984,350,2100,-630
00:12:33.749,,-266,-36,983,1960,2240,1820
00:12:33.768,,-256,-43,987,-280,2730,3150
00:12:33.787,,-264,-72,992,-1960,3500,3150
00:12:33.806,,-273,-89,995,1050,3920,2170
00:12:33.825,,-273,-72,994,6020,3850,910
00:12:33.844,,-272,-41,1002,6300,3850,-210
00:12:33.863,,-271,-47,1009,1750,4200,-770
00:12:33.881,,-278,-66,1012,-140,3780,-630
00:12:33.900,,-273,-60,1008,2660,2590,0
00:12:33.919,,-264,-40,1002,4690,1260,700
00:12:33.938,,-257,-42,995,3080,630,1470
00:12:33.957,,-257,-58,988,1610,840,2240
00:12:33.976,,-265,-61,983,2380,910,2660
00:12:33.995,,-269,-54,981,2590,630,2520
00:12:34.014,,-263,-61,979,630,630,1960
00:12:34.032,,-263,-75,975,-490,910,1050
00:12:34.051,,-271,-72,971,630,840,210
00:12:34.070,,-278,-53,970,630,490,-420
00:12:34.089,,-293,-54,972,-2520,770,-1050
00:12:34.108,,-280,-54,981,-4060,2030,-2170
00:12:34.127,,-266,-46,986,-2310,2940,-3080
00:12:34.146,,-247,-22,991,420,2380,-2800
00:12:34.165,,-242,-4,990,70,1050,-1260
00:12:34.184,,-248,-18,982,-3850,-70,980
00:12:34.203,,-253,-53,970,-6650,-350,2800
00:12:34.221,,-253,-71,963,-4970,560,3150
00:12:34.240,,-260,-62,967,-2240,2310,1960
00:12:34.259,,-281,-67,972,-2730,3850,70
00:12:34.278,,-292,-86,977,-2870,5110,-1820
00:12:34.297,,-296,-70,989,910,6160,-3500
00:12:34.316,,-290,-36,1001,3220,6440,-4480
00:12:34.335,,-269,-18,1013,840,6090,-4550
00:12:34.354,,-262,-34,1020,-2030,5530,-3920
00:12:34.373,,-274,-40,1019,-210,4550,-2590
00:12:34.391,,-280,-32,1010,2800,2730,-700
00:12:34.410,,-272,-28,995,2730,1050,980
00:12:34.429,,-262,-42,983,70,350,1400
00:12:34.448,,-270,-63,973,-1610,630,770
00:12:34.467,,-278,-73,963,-700,1260,70
00:12:34.486,,-273,-67,960,630,1820,-490
00:12:34.505,,-266,-58,967,210,2800,-1470
00:12:34.524,,-274,-58,978,-1540,3990,-2660
00:12:34.543,,-281,-62,988,-2660,4270,-3640
00:12:34.561,,-280,-60,990,-1960,3570,-4200
00:12:34.580,,-274,-42,991,-210,2660,-4410
00:12:34.599,,-277,-25,994,-630,2380,-4060
00:12:34.618,,-278,-36,993,-3080,2380,-3010
00:12:34.637,,-274,-52,991,-3080,2380,-1750
00:12:34.656,,-273,-47,991,-140,2310,-910
00:12:34.675,,-273,-27,997,1190,2520,-840
00:12:34.694,,-279,-34,997,-1400,2520,-910
00:12:34.713,,-278,-55,992,-2660,2100,-700
00:12:34.731,,-274,-55,988,-280,1610,-280
00:12:34.750,,-270,-40,990,1540,1680,-210
00:12:34.769,,-274,-33,991,140,2030,-420
00:12:34.788,,-275,-47,987,-2380,1820,-420
00:12:34.807,,-271,-57,985,-1890,1470,-70
00:12:34.826,,-274,-47,985,350,1400,210
00:12:34.845,,-275,-38,985,280,1540,210
00:12:34.864,,-273,-49,981,-1820,1260,70
00:12:34.883,,-268,-62,976,-2170,1120,0
00:12:34.901,,-269,-53,979,-70,1750,-140
00:12:34.920,,-279,-40,986,280,2310,-350
00:12:34.939,,-283,-48,983,-2030,2030,-630
00:12:34.958,,-271,-58,975,-2590,1190,-910
00:12:34.977,,-260,-50,971,-560,1260,-1260
00:12:34.996,,-266,-31,979,630,2380,-1190
00:12:35.015,,-276,-35,986,-1540,3290,-630
00:12:35.034,,-277,-56,987,-2870,3150,0
00:12:35.053,,-269,-54,987,-560,2520,210
00:12:35.071,,-270,-39,987,1470,2310,210
00:12:35.090,,-274,-38,986,-350,2450,490
