Sensors' Acquisition [Hz]: Acc@52.0 Gyro@52.0 Mag@52.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ, GyroX [mdps], GyroY, GyroZ, MagX [mgauss], MagY, MagZ
10:49:32.367,,-224,89,1066,630,-280,1960,187,385,-301
10:49:32.386,,-211,102,1058,1050,-910,2100,186,385,-297
10:49:32.405,,-202,105,1063,-630,-700,1400,190,382,-298
10:49:32.423,,-209,90,1068,-2940,-420,840,196,382,-286
10:49:32.442,,-215,86,1076,-3080,-1190,1190,195,381,-280
10:49:32.461,,-212,95,1091,-1890,-2310,1820,193,382,-285
10:49:32.480,,-204,107,1099,-1050,-2730,2240,198,387,-288
10:49:32.498,,-197,113,1106,-770,-1960,1960,204,384,-288
10:49:32.517,,-199,113,1108,-770,-350,1190,195,375,-285
10:49:32.536,,-199,104,1101,-910,980,910,204,378,-294
10:49:32.555,,-196,97,1086,-840,1820,840,192,385,-291
10:49:32.573,,-202,92,1069,-840,2170,840,199,382,-291
10:49:32.592,,-204,84,1065,-560,1330,1050,202,378,-291
10:49:32.611,,-200,92,1069,420,-70,1470,202,382,-294
10:49:32.630,,-195,105,1075,630,-910,1750,207,379,-292
10:49:32.649,,-191,110,1078,420,-980,1610,204,382,-298
10:49:32.667,,-197,114,1071,980,-350,1120,213,376,-301
10:49:32.686,,-205,118,1076,1190,70,560,205,372,-301
10:49:32.705,,-206,107,1077,1120,-70,70,210,379,-312
10:49:32.724,,-193,109,1076,1820,-280,-560,208,372,-313
10:49:32.742,,-184,110,1070,1260,140,-1680,208,376,-316
10:49:32.761,,-190,95,1063,-490,840,-2450,208,381,-321
10:49:32.780,,-202,81,1067,-560,700,-2310,204,384,-318
10:49:32.799,,-203,86,1070,840,-280,-1610,186,390,-328
10:49:32.818,,-199,105,1067,1330,-980,-1120,187,390,-319
10:49:32.836,,-202,115,1066,630,-700,-1330,184,391,-324
10:49:32.855,,-210,115,1062,-280,-70,-2170,186,396,-310
10:49:32.874,,-226,106,1061,-910,210,-2660,174,390,-319
10:49:32.893,,-233,90,1066,-840,-770,-2240,174,400,-304
10:49:32.911,,-220,83,1071,0,-2380,-1680,174,400,-304
10:49:32.930,,-212,83,1079,490,-3080,-1330,174,391,-301
10:49:32.949,,-214,86,1092,980,-2800,-630,172,396,-294
10:49:32.968,,-211,94,1095,2520,-1680,560,175,393,-294
10:49:32.986,,-198,110,1082,3360,350,980,163,397,-295
10:49:33.005,,-187,111,1055,1400,3010,210,178,391,-289
10:49:33.024,,-196,91,1032,-1960,4830,-840,171,394,-298
10:49:33.043,,-221,72,1028,-2520,3920,-490,174,393,-294
