Sensors' Acquisition [Hz]: Acc@52.0 Gyro@52.0 Mag@52.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ, GyroX [mdps], GyroY, GyroZ, MagX [mgauss], MagY, MagZ
18:38:22.395,,-205,-35,1017,560,350,490,-135,132,-430
18:38:22.414,,-202,-32,1015,630,700,840,-135,123,-427
18:38:22.433,,-201,-33,1013,70,1260,1400,-133,133,-424
18:38:22.451,,-203,-32,1010,-1120,1470,2100,-135,138,-424
18:38:22.470,,-204,-32,1008,-2100,1190,2870,-141,132,-432
18:38:22.489,,-205,-25,1010,-2450,280,3710,-124,127,-424
18:38:22.508,,-200,-14,1021,-2100,-980,4340,-135,132,-420
18:38:22.526,,-192,-2,1030,-1470,-2030,4480,-130,132,-435
18:38:22.545,,-187,11,1038,-840,-2310,4200,-132,127,-429
18:38:22.564,,-180,16,1042,-700,-1750,3220,-133,126,-427
18:38:22.583,,-177,14,1043,-980,-770,1680,-129,123,-430
18:38:22.602,,-178,1,1037,-1330,280,70,-132,130,-436
18:38:22.620,,-182,-11,1032,-1610,560,-1120,-126,123,-429
18:38:22.639,,-185,-20,1031,-1610,350,-1400,-127,129,-418
18:38:22.658,,-186,-22,1036,-1540,-350,-1190,-141,129,-427
18:38:22.677,,-187,-18,1038,-980,-1050,-1120,-126,124,-423
18:38:22.696,,-186,-12,1040,210,-1400,-1260,-133,120,-417
18:38:22.714,,-188,-8,1038,1330,-910,-1750,-129,118,-426
18:38:22.733,,-192,-8,1034,1610,210,-2520,-132,121,-423
18:38:22.752,,-199,-19,1025,1120,1470,-3150,-132,129,-429
18:38:22.771,,-208,-27,1014,630,2310,-3430,-133,129,-427
18:38:22.789,,-213,-35,1005,140,2310,-3150,-132,130,-430
18:38:22.808,,-217,-39,1000,-140,1750,-2450,-139,123,-429
18:38:22.827,,-220,-39,1000,-630,700,-1470,-141,121,-423
18:38:22.846,,-218,-36,1005,-700,-490,-630,-132,130,-430
18:38:22.865,,-212,-31,1007,-420,-1330,0,-126,124,-423
18:38:22.883,,-208,-25,1009,-560,-1610,490,-135,129,-423
18:38:22.902,,-204,-25,1012,-1330,-1540,700,-123,123,-420
18:38:22.921,,-203,-24,1014,-2170,-1330,700,-138,124,-432
18:38:22.940,,-201,-26,1023,-3010,-1540,560,-138,124,-432
18:38:22.959,,-198,-27,1031,-3360,-2100,350,-136,127,-427
18:38:22.977,,-195,-21,1039,-3430,-2800,70,-130,123,-424
18:38:22.996,,-192,-18,1051,-3430,-3290,-280,-126,124,-421
18:38:23.015,,-191,-14,1058,-3010,-3360,-770,-130,121,-429
18:38:23.034,,-192,-13,1063,-2590,-3080,-1470,-127,132,-423
18:38:23.052,,-194,-20,1063,-2380,-2520,-2450,-127,129,-421
18:38:23.071,,-196,-30,1064,-2030,-2030,-3290,-129,121,-429
18:38:23.090,,-197,-38,1060,-1540,-1400,-3570,-130,118,-421
18:38:23.109,,-200,-45,1057,-1050,-840,-3080,-132,124,-423
18:38:23.128,,-201,-42,1046,-420,-280,-2240,-123,127,-423
18:38:23.146,,-204,-38,1036,280,490,-1260,-130,118,-418
18:38:23.165,,-206,-36,1029,210,1190,-700,-127,126,-423
18:38:23.184,,-207,-35,1020,140,1470,-560,-123,139,-427
