Sensors' Acquisition [Hz]: Acc@52.0 Gyro@52.0 Mag@52.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ, GyroX [mdps], GyroY, GyroZ, MagX [mgauss], MagY, MagZ
18:38:39.395,,-218,16,1035,-1890,1190,1470,-156,150,-420
18:38:39.414,,-220,13,1033,-1610,1610,1190,-162,147,-420
18:38:39.432,,-220,14,1031,-420,1610,560,-160,144,-418
18:38:39.451,,-221,14,1027,420,1470,140,-154,145,-417
18:38:39.470,,-218,10,1023,560,1330,-210,-163,142,-415
18:38:39.489,,-217,6,1011,630,1260,-560,-159,151,-427
18:38:39.508,,-217,4,1008,1050,1400,-700,-169,153,-429
18:38:39.526,,-222,0,1000,700,1470,-770,-154,151,-423
18:38:39.545,,-225,-3,997,0,1190,-840,-157,150,-426
18:38:39.564,,-226,-7,994,-560,630,-910,-166,151,-426
18:38:39.583,,-222,-11,998,-980,-280,-910,-154,150,-432
18:38:39.602,,-221,-10,1005,-1330,-1050,-910,-160,142,-427
18:38:39.620,,-219,-8,1010,-1750,-1890,-770,-159,147,-421
18:38:39.639,,-223,0,1015,-1820,-2310,-700,-157,151,-426
18:38:39.658,,-225,6,1023,-1960,-2590,-700,-156,148,-420
18:38:39.677,,-228,7,1032,-2240,-2800,-1190,-151,141,-421
18:38:39.696,,-230,2,1036,-2240,-3150,-2030,-157,145,-430
18:38:39.714,,-232,-3,1044,-1820,-3500,-2870,-160,145,-417
18:38:39.733,,-233,-8,1050,-1260,-3570,-2940,-156,139,-417
18:38:39.752,,-232,-9,1055,-630,-3150,-2380,-163,145,-429
18:38:39.771,,-231,-12,1058,-420,-2450,-1960,-165,150,-423
18:38:39.790,,-232,-15,1052,-420,-1330,-1820,-148,141,-420
18:38:39.808,,-233,-22,1050,-490,-490,-1260,-160,141,-421
18:38:39.827,,-232,-27,1047,-420,-70,-280,-162,148,-427
18:38:39.846,,-233,-23,1042,70,70,980,-168,145,-430
18:38:39.865,,-229,-15,1037,350,0,2030,-157,142,-430
18:38:39.883,,-225,-10,1031,560,-70,2730,-157,150,-426
18:38:39.902,,-219,-7,1033,910,-140,2940,-157,150,-426
18:38:39.921,,-216,-4,1028,1260,-280,2800,-163,142,-427
18:38:39.940,,-212,-1,1024,1820,-140,2870,-159,141,-421
18:38:39.959,,-208,1,1021,2100,490,2940,-156,148,-423
18:38:39.977,,-210,3,1016,1680,1400,3080,-153,141,-424
18:38:39.996,,-210,2,1012,1120,1960,3010,-156,138,-412
18:38:40.015,,-213,3,1010,910,2310,2800,-162,148,-421
18:38:40.034,,-213,3,1010,910,2310,2800,-153,148,-430
18:38:40.053,,-220,9,1006,770,2240,2590,-159,150,-430
18:38:40.071,,-229,9,1008,700,1750,2660,-163,147,-430
18:38:40.090,,-231,15,1010,910,840,2450,-156,151,-424
18:38:40.109,,-231,22,1007,980,210,1890,-159,145,-430
18:38:40.128,,-231,24,1009,280,-280,1190,-168,150,-426
18:38:40.146,,-235,20,1013,-490,-630,490,-166,145,-421
18:38:40.165,,-235,16,1014,-210,-1190,-210,-159,145,-429
18:38:40.184,,-231,15,1012,1050,-1610,-630,-162,144,-426
18:38:40.203,,-223,14,1014,1470,-1470,-1120,-162,147,-430
18:38:40.222,,-216,2,1011,700,-840,-1610,-157,153,-424
18:38:40.240,,-211,-8,1009,-140,0,-1890,-151,147,-424
18:38:40.259,,-214,-12,1001,-1190,560,-1750,-162,142,-424
18:38:40.278,,-219,-16,998,-2590,350,-1190,-159,144,-423
18:38:40.297,,-227,-16,999,-3430,-700,-490,-150,148,-429
18:38:40.316,,-231,-8,1007,-3010,-2310,490,-163,153,-424
18:38:40.334,,-229,4,1020,-2240,-3920,1260,-162,147,-429
18:38:40.353,,-223,16,1029,-1680,-4830,1680,-156,139,-426
18:38:40.372,,-216,24,1038,-1470,-4760,1540,-162,144,-426
18:38:40.391,,-212,24,1044,-1820,-3990,980,-153,144,-414
18:38:40.410,,-212,20,1047,-1890,-3080,280,-160,144,-423
18:38:40.428,,-211,20,1046,-1610,-2240,-420,-153,142,-429
18:38:40.447,,-212,20,1043,-1680,-1260,-910,-159,141,-424
18:38:40.466,,-213,15,1039,-2240,-560,-1120,-163,148,-423
18:38:40.485,,-216,11,1039,-2240,-350,-1470,-165,142,-426
18:38:40.503,,-216,8,1041,-1260,-700,-1750,-157,142,-421
18:38:40.522,,-212,10,1038,280,-1190,-2030,-157,139,-423
18:38:40.541,,-209,10,1031,1540,-1050,-2240,-160,138,-426
18:38:40.560,,-206,7,1023,2030,-140,-2520,-160,145,-421
18:38:40.579,,-205,0,1009,1960,1120,-2940,-160,139,-424
18:38:40.597,,-206,-8,1001,2030,2310,-3220,-159,141,-417
18:38:40.616,,-208,-15,988,1750,3010,-3150,-165,147,-421
18:38:40.635,,-211,-18,976,1120,3290,-2800,-168,148,-426
18:38:40.654,,-219,-20,970,140,2870,-2240,-162,145,-421
18:38:40.673,,-226,-21,968,-910,1750,-1680,-151,141,-415
18:38:40.691,,-232,-13,972,-1260,70,-910,-165,151,-426
18:38:40.710,,-237,-7,982,-1680,-1610,-280,-163,157,-421
18:38:40.729,,-240,-1,996,-1960,-3360,140,-160,145,-418
18:38:40.748,,-234,5,1011,-1610,-4830,560,-160,138,-417
18:38:40.766,,-225,16,1022,-1120,-5250,770,-160,141,-427
18:38:40.785,,-218,24,1036,-1400,-4480,840,-156,145,-423
18:38:40.804,,-211,22,1039,-2380,-3150,350,-157,135,-423
18:38:40.823,,-207,17,1038,-2940,-1890,-280,-154,133,-417
18:38:40.842,,-206,11,1043,-2660,-980,-630,-153,139,-424
18:38:40.860,,-201,5,1045,-2240,-700,-630,-156,139,-417
18:38:40.879,,-196,5,1045,-1400,-560,-490,-156,139,-417
18:38:40.898,,-194,11,1040,-1050,0,-420,-150,135,-415
18:38:40.917,,-197,13,1035,-1400,770,-560,-154,142,-411
18:38:40.936,,-205,15,1033,-1820,1120,-980,-154,135,-417
18:38:40.938,>gest3_circle_cw,,,,,,,,,
18:38:40.954,,-211,11,1030,-1890,700,-1540,-150,142,-415
18:38:40.973,,-213,9,1031,-1540,-350,-2310,-157,139,-412
18:38:40.992,,-211,3,1035,-840,-1330,-2800,-162,139,-418
18:38:41.011,,-207,2,1041,-420,-1960,-3010,-154,141,-423
18:38:41.030,,-208,0,1043,-560,-1960,-3220,-157,145,-423
18:38:41.048,,-212,-1,1040,-560,-1330,-3570,-145,135,-415
18:38:41.067,,-221,-3,1041,-350,-700,-3780,-156,139,-424
18:38:41.086,,-229,-11,1033,-350,-350,-3920,-160,150,-424
18:38:41.105,,-231,-19,1029,-140,-280,-3920,-163,145,-417
18:38:41.123,,-232,-27,1023,70,-350,-3570,-160,142,-424
18:38:41.142,,-230,-34,1020,-70,-420,-2870,-166,150,-426
18:38:41.161,,-230,-34,1020,-350,-630,-1890,-159,144,-421
18:38:41.180,,-231,-29,1017,-630,-910,-910,-156,153,-429
18:38:41.199,,-233,-19,1016,-770,-1470,-70,-166,139,-418
18:38:41.217,,-234,-10,1018,-490,-2450,420,-165,142,-426
18:38:41.236,,-234,1,1020,140,-3500,840,-160,136,-415
18:38:41.255,,-230,15,1023,560,-4270,630,-157,142,-424
18:38:41.274,,-222,22,1025,350,-4830,-280,-163,135,-414
18:38:41.293,,-211,23,1029,140,-5250,-1540,-157,139,-421
18:38:41.311,,-202,24,1030,210,-5740,-2730,-159,139,-418
18:38:41.330,,-192,22,1030,350,-6090,-3780,-166,129,-420
18:38:41.349,,-182,20,1021,350,-6230,-4690,-172,145,-426
18:38:41.368,,-184,14,1012,70,-5880,-5250,-160,142,-421
18:38:41.387,,-186,9,1008,-280,-5950,-5670,-154,138,-414
18:38:41.405,,-183,2,994,-280,-6440,-6160,-165,142,-417
18:38:41.424,,-185,1,973,-140,-7070,-6720,-169,135,-414
18:38:41.443,,-191,-8,959,-1260,-7910,-7280,-157,138,-418
18:38:41.462,,-207,-30,944,-3360,-9450,-7980,-160,130,-417
18:38:41.480,,-232,-67,946,-5250,-12250,-8470,-165,142,-418
18:38:41.499,,-259,-127,954,-7560,-16800,-8890,-169,135,-421
18:38:41.518,,-287,-198,974,-8890,-21840,-7770,-163,129,-411
18:38:41.537,,-305,-267,981,-10010,-27090,-4200,-165,130,-417
18:38:41.556,,-313,-330,994,-10500,-31360,3360,-168,123,-414
18:38:41.574,,-316,-387,1017,-11970,-33600,14280,-159,126,-415
18:38:41.593,,-308,-422,1047,-13300,-35000,27090,-151,111,-408
18:38:41.612,,-310,-457,1089,-14490,-35630,42420,-151,106,-406
18:38:41.631,,-326,-473,1118,-14140,-37380,60410,-148,100,-411
18:38:41.650,,-347,-483,1212,-10290,-40180,81340,-132,84,-403
18:38:41.668,,-377,-457,1380,-7210,-43610,103740,-115,76,-397
18:38:41.687,,-323,-497,1585,-2940,-48370,127120,-99,67,-394
18:38:41.706,,-179,-485,1788,21770,-50120,149520,-94,52,-378
18:38:41.725,,36,-228,1951,60690,-40040,165340,-88,46,-390
18:38:41.744,,267,92,1976,85050,-13860,171220,-76,40,-378
18:38:41.762,,463,331,1924,90790,24500,165900,-67,37,-385
18:38:41.781,,583,480,1852,89250,68880,150150,-64,43,-388
18:38:41.800,,599,554,1716,92750,109060,128380,-54,57,-390
18:38:41.819,,599,554,1716,98140,136080,105000,-60,52,-409
18:38:41.837,,550,585,1549,98140,136080,105000,-60,52,-409
18:38:41.856,,528,602,1428,105000,148540,82390,-70,81,-408
18:38:41.875,,530,628,1328,113540,152600,58590,-81,93,-412
18:38:41.894,,529,689,1196,122430,153720,31500,-96,109,-417
18:38:41.913,,513,709,1006,126210,155680,1050,-108,132,-427
18:38:41.931,,474,668,765,120260,158830,-30660,-139,153,-429
18:38:41.950,,392,531,502,108570,158200,-59990,-145,174,-435
18:38:41.969,,283,331,252,102270,149870,-84910,-160,201,-436
18:38:41.988,,195,211,119,113750,130690,-104230,-195,226,-435
18:38:42.007,,177,253,83,128450,102760,-118160,-222,250,-429
18:38:42.025,,122,282,0,123550,72940,-127610,-222,279,-426
18:38:42.044,,75,272,-173,101640,42560,-135870,-249,295,-420
18:38:42.063,,-22,233,-312,72730,18620,-145530,-265,318,-405
18:38:42.082,,-165,158,-372,45640,-70,-154140,-265,321,-403
18:38:42.100,,-301,21,-357,22960,-19320,-160020,-265,333,-400
18:38:42.119,,-405,-109,-295,4270,-39760,-163380,-262,343,-399
18:38:42.138,,-473,-226,-219,-13650,-61320,-162330,-262,358,-400
18:38:42.157,,-551,-372,-164,-32830,-83090,-155400,-261,351,-400
18:38:42.176,,-659,-494,-77,-51800,-103740,-142240,-244,348,-406
18:38:42.194,,-727,-617,75,-70070,-123760,-124180,-240,343,-417
18:38:42.213,,-798,-737,269,-85890,-141680,-103950,-226,336,-426
18:38:42.232,,-854,-820,515,-96670,-157360,-80500,-213,315,-435
18:38:42.251,,-852,-881,808,-101780,-171010,-52850,-196,298,-439
18:38:42.270,,-795,-952,1096,-100800,-180110,-26530,-187,276,-442
18:38:42.288,,-691,-922,1394,-88060,-180180,-1680,-181,246,-450
18:38:42.307,,-539,-792,1689,-65170,-169050,24850,-166,220,-445
18:38:42.326,,-396,-597,1874,-47600,-146930,47810,-157,207,-441
18:38:42.345,,-287,-400,1905,-45360,-116970,62580,-150,177,-438
18:38:42.363,,-231,-222,1902,-50820,-84210,70350,-138,172,-444
18:38:42.382,,-199,-92,1861,-50400,-56770,74690,-127,160,-438
18:38:42.401,,-160,62,1780,-38780,-36750,74620,-112,157,-436
18:38:42.420,,-118,197,1662,-22960,-21420,69930,-112,153,-442
18:38:42.439,,-79,269,1541,-10780,-9800,60690,-108,147,-439
18:38:42.457,,-36,281,1440,-840,-1050,48300,-102,139,-447
18:38:42.476,,1,259,1327,8960,5950,34440,-96,144,-438
18:38:42.495,,9,228,1230,17150,11760,21000,-102,139,-447
18:38:42.514,,-3,186,1135,20650,15120,9310,-112,145,-441
18:38:42.533,,-35,137,1057,17430,15890,280,-117,141,-438
18:38:42.551,,-77,52,996,10290,13510,-5670,-108,145,-438
18:38:42.570,,-112,-33,944,9100,8400,-9240,-112,151,-442
18:38:42.589,,-152,-52,927,14000,3080,-10710,-120,153,-433
18:38:42.608,,-190,-48,920,16380,-2240,-9870,-118,147,-436
18:38:42.627,,-217,-59,919,15330,-6300,-8470,-127,154,-436
18:38:42.645,,-248,-51,941,14630,-7700,-6720,-129,151,-433
18:38:42.664,,-265,-49,958,12670,-7840,-4690,-133,147,-427
18:38:42.683,,-268,-45,974,10360,-6510,-3080,-132,151,-441
18:38:42.702,,-267,-35,987,7070,-3850,-2310,-133,150,-439
18:38:42.720,,-271,-39,984,2310,-1470,-2310,-126,144,-435
18:38:42.739,,-277,-56,982,-1470,-280,-2590,-130,148,-436
18:38:42.758,,-285,-56,994,-2310,-420,-2940,-126,150,-430
18:38:42.777,,-291,-61,1012,-2380,-1750,-3150,-130,142,-427
18:38:42.796,,-289,-65,1020,-1680,-3360,-3640,-130,142,-427
18:38:42.814,,-283,-66,1025,-280,-3780,-4200,-133,148,-436
18:38:42.833,,-281,-72,1031,350,-2800,-4970,-129,148,-436
18:38:42.852,,-273,-90,1037,280,-1260,-5600,-135,148,-433
18:38:42.871,,-262,-114,1022,490,490,-5530,-136,154,-438
18:38:42.890,,-255,-125,1016,1330,2520,-4550,-138,156,-438
18:38:42.908,,-255,-118,1006,840,4480,-2730,-135,156,-442
18:38:42.927,,-260,-115,998,-840,5390,-280,-139,151,-433
18:38:42.946,,-270,-106,988,-1120,4900,1750,-132,151,-441
18:38:42.965,,-275,-75,995,-560,3500,3360,-135,159,-444
18:38:42.984,,-277,-52,1005,-210,1190,4760,-123,166,-438
18:38:43.002,,-274,-32,1017,770,-1330,5670,-133,156,-447
18:38:43.021,,-264,-6,1027,2730,-2730,5670,-135,154,-447
18:38:43.040,,-253,14,1028,3080,-2800,4830,-132,159,-444
18:38:43.059,,-242,14,1032,1540,-2100,3500,-129,150,-436
18:38:43.077,,-234,2,1030,210,-1120,1960,-136,157,-441
18:38:43.096,,-230,-12,1026,280,-420,350,-132,148,-438
18:38:43.115,,-232,-26,1020,1190,0,-1120,-129,154,-445
18:38:43.134,,-238,-36,1017,1680,350,-1960,-129,154,-436
18:38:43.153,,-242,-50,1006,910,560,-1890,-136,153,-438
18:38:43.171,,-246,-63,1006,70,630,-1330,-138,154,-441
18:38:43.190,,-249,-75,1006,-700,630,-700,-135,150,-439
18:38:43.209,,-252,-75,1002,-1120,560,0,-142,154,-432
18:38:43.228,,-254,-78,999,-1890,420,700,-133,145,-439
18:38:43.247,,-254,-79,993,-2170,210,1470,-133,150,-439
18:38:43.265,,-256,-69,996,-1680,-70,2100,-135,156,-438
18:38:43.284,,-258,-53,1005,-1260,-700,2730,-139,153,-442
18:38:43.303,,-258,-40,1009,-1190,-1610,3430,-136,145,-441
18:38:43.322,,-255,-25,1013,-490,-2660,4130,-126,159,-436
18:38:43.341,,-256,-3,1019,350,-2870,4480,-130,139,-439
18:38:43.359,,-256,6,1021,-630,-2520,3990,-127,156,-438
18:38:43.378,,-254,-3,1023,-1750,-2030,2660,-133,156,-438
18:38:43.397,,-251,-8,1029,-1120,-1540,700,-127,145,-444
18:38:43.416,,-251,-16,1030,-700,-1260,-1120,-129,148,-439
18:38:43.435,,-245,-29,1030,-1470,-1610,-2310,-130,151,-441
