Sensors' Acquisition [Hz]: Acc@52.0 Gyro@52.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ, GyroX [mdps], GyroY, GyroZ
00:02:00.862,,-54,170,1005,-1260,1540,-350
00:02:00.881,,-56,169,1006,-980,1750,-420
00:02:00.900,,-57,169,1002,-840,1540,-560
00:02:00.919,,-56,174,1003,-770,1330,-630
00:02:00.937,,-56,175,998,-840,1540,-630
00:02:00.956,,-59,175,997,-770,1960,-420
00:02:00.975,,-61,176,999,-560,2240,-280
00:02:00.994,,-59,177,997,-630,2240,-280
00:02:01.013,,-57,175,999,-1050,2170,0
00:02:01.032,,-54,171,1000,-1120,2380,140
00:02:01.051,,-54,171,1001,-910,2590,70
00:02:01.070,,-55,172,1003,-770,2730,-70
00:02:01.088,,-55,174,1003,-350,2800,0
00:02:01.107,,-55,179,1003,-420,2730,140
00:02:01.126,,-52,176,1006,-980,2800,420
00:02:01.145,,-50,175,1006,-1050,3080,630
00:02:01.164,,-54,170,1008,-980,3150,700
00:02:01.183,,-55,169,1008,-700,2940,560
00:02:01.202,,-53,174,1007,-420,2800,420
00:02:01.221,,-58,178,1011,-770,2870,560
00:02:01.239,,-60,177,1010,-1330,2730,770
00:02:01.258,,-58,174,1009,-1400,2520,1050
00:02:01.277,,-58,175,1010,-1190,2310,1190
00:02:01.296,,-57,171,1010,-1260,2100,910
00:02:01.315,,-61,172,1010,-1120,2030,840
00:02:01.334,,-61,171,1010,-1120,1820,1050
00:02:01.353,,-56,168,1003,-1470,1680,1190
00:02:01.372,,-51,163,1004,-1750,1680,840
00:02:01.391,,-53,165,998,-1330,1960,420
00:02:01.409,,-59,173,1001,-1120,2240,70
00:02:01.428,,-67,175,998,-1260,2240,0
00:02:01.447,,-63,172,994,-1610,2170,140
00:02:01.466,,-59,169,996,-1610,2590,420
00:02:01.485,,-58,166,999,-1540,3150,350
00:02:01.504,,-59,167,1002,-1540,3360,70
00:02:01.523,,-61,167,1006,-1750,3080,-210
00:02:01.542,,-61,167,1005,-1750,2800,-280
00:02:01.561,,-62,172,1005,-1470,2730,-280
00:02:01.579,,-63,169,1006,-1330,2800,-280
00:02:01.598,,-63,168,1008,-1190,2730,-350
00:02:01.617,,-62,167,1004,-1330,2590,-630
00:02:01.636,,-62,167,1008,-1540,2590,-700
00:02:01.655,,-63,167,1007,-1400,2520,-560
00:02:01.674,,-63,166,1008,-1540,2240,-700
00:02:01.693,,-63,165,1005,-1400,2100,-980
00:02:01.712,,-64,166,1007,-1190,2030,-1190
00:02:01.730,,-61,166,1007,-980,1960,-1120
00:02:01.749,,-61,170,1006,-770,1820,-1190
00:02:01.768,,-65,168,1008,-1190,1680,-1260
00:02:01.787,,-62,163,1004,-1260,1330,-1190
00:02:01.806,,-60,164,1001,-700,1260,-1050
00:02:01.825,,-58,165,999,-630,1330,-1330
00:02:01.844,,-61,165,997,-1120,1680,-1750
