Sensors' Acquisition [Hz]: Acc@52.0 Gyro@52.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ, GyroX [mdps], GyroY, GyroZ
00:02:00.099,,-30,134,1013,-840,2870,-700
00:02:00.118,,-31,135,1015,-420,2940,-700
00:02:00.137,,-31,142,1016,-70,2730,-1050
00:02:00.155,,-35,145,1015,-420,2520,-1400
00:02:00.174,,-33,145,1015,-490,2240,-1260
00:02:00.193,,-33,148,1016,-210,2310,-770
00:02:00.212,,-32,150,1016,-140,2520,-490
00:02:00.231,,-29,145,1017,-560,2520,-280
00:02:00.250,,-27,137,1019,-840,2450,0
00:02:00.269,,-32,139,1020,-910,2450,0
00:02:00.288,,-33,137,1022,-1050,2170,-420
00:02:00.307,,-35,138,1022,-980,1960,-770
00:02:00.325,,-38,146,1020,-770,1680,-770
00:02:00.344,,-38,147,1020,-1050,1260,-560
00:02:00.363,,-34,141,1016,-1120,1050,-420
00:02:00.382,,-29,138,1010,-700,1050,-280
00:02:00.401,,-31,138,1009,-630,1260,-280
00:02:00.420,,-30,134,1007,-910,1330,-560
00:02:00.439,,-31,136,1004,-700,1540,-910
00:02:00.458,,-34,142,1005,-630,1960,-1190
00:02:00.477,,-35,149,1008,-770,2240,-1260
00:02:00.495,,-36,148,1011,-1190,2310,-1120
00:02:00.514,,-32,144,1010,-1260,2240,-770
00:02:00.533,,-29,143,1012,-1120,2100,-420
00:02:00.552,,-26,142,1013,-840,2240,-420
00:02:00.571,,-28,141,1016,-910,2450,-560
00:02:00.590,,-26,136,1019,-910,2240,-630
00:02:00.609,,-29,143,1013,-420,2240,-630
00:02:00.628,,-29,144,1017,-770,1890,-490
00:02:00.647,,-29,142,1017,-1050,1610,-490
00:02:00.666,,-31,148,1009,-840,1540,-280
00:02:00.684,,-30,142,1010,-1190,1610,-140
00:02:00.703,,-30,139,1009,-910,1750,0
00:02:00.722,,-31,142,1008,-560,2030,140
00:02:00.741,,-35,145,1007,-770,2100,0
00:02:00.760,,-31,137,1008,-1330,1960,-280
00:02:00.779,,-29,135,1008,-910,2100,-280
00:02:00.798,,-30,137,1007,-210,2310,0
00:02:00.817,,-30,141,1009,-350,2380,-280
00:02:00.836,,-32,141,1011,-1050,2240,-910
00:02:00.854,,-31,139,1012,-1260,2450,-1260
00:02:00.873,,-33,142,1014,-630,2730,-980
00:02:00.892,,-32,147,1015,-210,2730,-420
00:02:00.911,,-28,142,1012,-630,2450,-350
00:02:00.930,,-28,141,1010,-1190,2380,-560
00:02:00.949,,-29,143,1011,-1260,2310,-700
00:02:00.968,,-31,148,1008,-1190,2310,-700
00:02:00.987,,-31,146,1009,-1050,2380,-420
00:02:01.006,,-30,150,1010,-630,2520,0
00:02:01.024,,-32,148,1009,-630,2590,210
00:02:01.043,,-30,140,1010,-770,2520,210
00:02:01.062,,-27,139,1009,-490,2450,350
00:02:01.081,,-28,144,1009,-560,2520,280
00:02:01.100,,-28,144,1011,-1330,2590,0
00:02:01.119,,-31,142,1014,-1330,2800,-140
00:02:01.138,,-34,146,1016,-980,3010,210
00:02:01.157,,-35,148,1018,-980,2940,560
00:02:01.176,,-37,141,1019,-1610,2660,630
00:02:01.194,,-36,133,1017,-1680,2240,490
00:02:01.213,,-33,130,1013,-1120,1960,210
00:02:01.232,,-32,140,1012,-910,1680,-280
00:02:01.251,,-34,142,1011,-1400,1750,-770
00:02:01.270,,-33,140,1008,-1750,1820,-770
00:02:01.289,,-34,140,1008,-1470,2030,-420
00:02:01.308,,-36,144,1007,-1120,2240,-280
00:02:01.327,,-34,140,1004,-1610,2240,-420
00:02:01.346,,-32,136,1006,-1820,2380,-560
00:02:01.364,,-32,139,1005,-1540,2660,-490
00:02:01.383,,-33,142,1005,-1610,2800,-560
00:02:01.402,,-32,136,1006,-1750,2870,-700
00:02:01.421,,-32,138,1008,-1190,2940,-630
00:02:01.440,,-33,146,1008,-770,2940,-560
00:02:01.459,,-34,143,1009,-1260,2800,-630
00:02:01.478,,-32,139,1010,-1330,2660,-490
00:02:01.497,,-33,141,1011,-840,2870,-210
00:02:01.516,,-34,144,1010,-630,2940,-140
00:02:01.534,,-36,143,1012,-980,2800,-140
00:02:01.553,,-36,138,1014,-1260,2660,0
00:02:01.572,,-32,137,1012,-980,2520,0
00:02:01.591,,-34,139,1014,-630,2450,140
00:02:01.610,,-35,139,1013,-700,2310,70
00:02:01.629,,-38,139,1011,-910,2240,-140
00:02:01.648,,-37,138,1010,-980,2100,-350
00:02:01.667,,-38,141,1012,-840,2240,-490
