Sensors' Acquisition [Hz]: Acc@52.0 Gyro@52.0 Mag@52.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ, GyroX [mdps], GyroY, GyroZ, MagX [mgauss], MagY, MagZ
19:09:55.372,,-203,57,1039,-2030,-3150,980,147,-49,-261
19:09:55.391,,-195,58,1046,-2030,-2870,1190,151,-43,-256
19:09:55.409,,-188,61,1052,-1960,-2380,1330,147,-61,-261
19:09:55.428,,-181,60,1055,-1680,-2100,1540,145,-54,-259
19:09:55.447,,-178,66,1057,-1260,-1540,1610,142,-54,-265
19:09:55.466,,-177,74,1052,-1190,-1120,1680,145,-48,-268
19:09:55.485,,-180,76,1049,-1470,-770,1680,147,-51,-268
19:09:55.503,,-181,75,1049,-910,-840,1400,148,-58,-259
19:09:55.522,,-180,83,1048,210,-1190,910,151,-57,-270
19:09:55.541,,-177,79,1049,630,-1400,350,147,-55,-259
19:09:55.560,,-175,75,1049,840,-1400,0,154,-54,-265
19:09:55.578,,-175,71,1049,1120,-980,-140,144,-51,-267
19:09:55.597,,-180,65,1050,1190,-700,-70,144,-54,-259
19:09:55.616,,-180,65,1046,1330,-490,-70,141,-49,-268
19:09:55.635,,-180,63,1046,1330,-490,-70,154,-52,-256
19:09:55.654,,-183,61,1039,1610,-420,0,141,-57,-268
19:09:55.672,,-183,63,1033,1890,-280,70,148,-51,-264
19:09:55.691,,-184,68,1029,1610,0,280,144,-58,-271
19:09:55.710,,-183,69,1032,1120,-140,420,147,-57,-267
19:09:55.729,,-185,77,1031,1190,-210,420,153,-60,-262
19:09:55.747,,-184,81,1030,1330,-350,140,150,-54,-273
19:09:55.766,,-183,81,1032,1330,-490,-280,142,-54,-268
19:09:55.785,,-182,79,1032,1120,-630,-630,147,-54,-264
19:09:55.804,,-182,75,1032,770,-840,-770,150,-58,-267
19:09:55.823,,-179,72,1039,980,-1470,-700,147,-58,-268
19:09:55.841,,-178,75,1039,1540,-1820,-490,147,-49,-265
19:09:55.860,,-180,82,1039,1820,-1960,-350,148,-51,-262
19:09:55.879,,-185,81,1037,1540,-1750,-560,153,-48,-264
19:09:55.898,,-191,76,1037,1610,-1750,-980,141,-51,-273
19:09:55.916,,-193,74,1034,1680,-1890,-1330,141,-51,-273
19:09:55.935,,-192,69,1034,1890,-2240,-1120,144,-54,-267
19:09:55.954,,-188,70,1039,2170,-2310,-700,142,-54,-265
19:09:55.973,,-184,74,1032,2170,-2100,-280,150,-58,-273
19:09:55.992,,-182,77,1033,1820,-1470,-140,142,-57,-273
19:09:56.010,,-181,78,1035,1190,-840,-70,147,-49,-267
19:09:56.029,,-183,74,1031,490,-490,-140,145,-52,-271
19:09:56.048,,-182,74,1028,70,-350,-210,145,-57,-267
19:09:56.067,,-181,73,1025,-140,-420,0,141,-54,-268
19:09:56.085,,-178,74,1024,-70,-490,350,145,-54,-262
19:09:56.104,,-177,76,1026,0,-490,700,145,-55,-262
19:09:56.123,,-175,78,1029,0,-630,700,148,-51,-268
19:09:56.142,,-176,81,1028,-210,-630,630,142,-54,-264
19:09:56.161,,-177,80,1029,-700,-770,490,144,-51,-271
19:09:56.179,,-176,81,1033,-630,-1050,490,141,-55,-274
19:09:56.198,,-173,86,1034,-700,-980,490,142,-55,-267
19:09:56.217,,-174,87,1036,-1050,-910,210,144,-61,-268
19:09:56.236,,-176,82,1036,-1330,-840,-70,145,-55,-270
19:09:56.254,,-178,82,1036,-1050,-980,-210,136,-51,-268
19:09:56.273,,-179,80,1038,-980,-1190,-210,139,-60,-265
19:09:56.292,,-178,82,1042,-630,-1400,-280,148,-55,-258
19:09:56.311,,-179,85,1042,-630,-1190,-350,148,-57,-265
19:09:56.330,,-180,83,1043,-700,-910,-490,151,-57,-271
19:09:56.348,,-181,83,1044,-630,-630,-630,147,-55,-271
19:09:56.367,,-180,83,1042,-560,-490,-700,147,-51,-265
19:09:56.386,,-183,82,1041,-840,-210,-630,150,-52,-262
19:09:56.405,,-181,78,1039,-980,-140,-560,148,-54,-267
19:09:56.423,,-182,79,1036,-420,70,-420,148,-57,-264
19:09:56.442,,-183,82,1036,-350,0,-280,150,-54,-256
19:09:56.461,,-181,81,1034,-630,-140,-140,144,-64,-264
19:09:56.480,,-181,80,1034,-770,-140,-140,151,-57,-265
19:09:56.499,,-181,79,1037,-770,-210,0,141,-54,-265
19:09:56.517,,-179,78,1035,-490,-420,-140,142,-55,-259
19:09:56.536,,-178,82,1037,-70,-420,-140,144,-57,-265
19:09:56.555,,-178,82,1037,-490,-350,-280,147,-54,-264
19:09:56.574,,-177,77,1038,-980,-280,-280,151,-55,-264
19:09:56.592,,-179,78,1039,-700,-210,-140,144,-54,-271
19:09:56.611,,-181,83,1037,-140,-210,-210,148,-52,-271
19:09:56.630,,-181,85,1037,0,-350,-280,147,-57,-261
19:09:56.649,,-178,82,1038,-350,-350,-490,148,-57,-267
19:09:56.668,,-178,80,1037,-490,-210,-490,142,-49,-265
19:09:56.686,,-178,80,1039,-350,0,-490,144,-52,-259
19:09:56.705,,-180,83,1037,-490,70,-560,148,-58,-262
19:09:56.724,,-179,80,1038,-350,-280,-560,142,-55,-268
19:09:56.743,,-176,82,1039,70,-560,-700,141,-58,-270
19:09:56.759,>gest1_still,,,,,,,,,
19:09:56.761,,-172,83,1042,210,-490,-770,144,-51,-270
19:09:56.780,,-172,81,1042,-70,-210,-700,145,-54,-261
19:09:56.799,,-176,83,1041,-70,70,-770,148,-48,-265
19:09:56.818,,-180,83,1038,-140,140,-840,142,-58,-265
19:09:56.837,,-181,83,1036,140,-140,-840,148,-58,-276
19:09:56.855,,-177,84,1038,280,-350,-910,148,-58,-276
19:09:56.874,,-178,82,1038,210,-420,-980,136,-57,-262
19:09:56.893,,-179,80,1038,210,-490,-1120,145,-58,-261
19:09:56.912,,-180,78,1036,350,-490,-980,148,-54,-264
19:09:56.930,,-180,79,1033,350,-420,-840,144,-46,-261
19:09:56.949,,-183,78,1036,70,-350,-630,141,-55,-262
19:09:56.968,,-186,78,1037,-140,-350,-560,151,-58,-276
19:09:56.987,,-187,80,1037,350,-560,-560,138,-58,-265
19:09:57.005,,-187,86,1040,700,-630,-630,148,-52,-267
19:09:57.024,,-186,89,1042,490,-490,-560,150,-58,-255
19:09:57.043,,-183,88,1045,140,-210,-420,138,-52,-265
19:09:57.062,,-183,86,1043,210,140,-350,148,-52,-255
19:09:57.081,,-182,86,1038,560,420,-490,151,-46,-262
19:09:57.099,,-186,88,1033,420,490,-420,144,-58,-264
19:09:57.118,,-189,80,1024,-70,70,-210,142,-52,-262
19:09:57.137,,-190,80,1021,280,-630,280,145,-52,-264
19:09:57.156,,-192,95,1021,140,-1470,770,145,-49,-267
19:09:57.174,,-183,89,1024,-1050,-2520,910,147,-58,-261
19:09:57.193,,-175,96,1028,-420,-2940,490,144,-57,-268
19:09:57.212,,-174,109,1032,-70,-2450,-280,141,-49,-268
19:09:57.231,,-173,100,1027,-1330,-2030,-770,138,-55,-273
19:09:57.250,,-174,95,1029,-1610,-1610,-980,148,-55,-270
19:09:57.268,,-177,98,1024,-1470,-1400,-1120,144,-58,-261
19:09:57.287,,-179,96,1013,-2450,-1190,-910,148,-61,-253
19:09:57.306,,-180,88,1010,-4270,-1120,-350,147,-55,-273
19:09:57.325,,-179,80,1005,-6370,-1400,420,144,-54,-264
