Sensors' Acquisition [Hz]: Acc@52.0 Gyro@52.0 Mag@52.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ, GyroX [mdps], GyroY, GyroZ, MagX [mgauss], MagY, MagZ
10:41:55.308,,-179,2,1011,-140,-1120,-2310,306,340,-288
10:41:55.326,,-194,3,1004,-1050,-700,-910,307,340,-295
10:41:55.345,,-208,2,1000,-910,-420,140,312,342,-295
10:41:55.364,,-207,5,1006,-560,-840,-420,312,343,-288
10:41:55.383,,-197,-7,1014,-2660,-1610,-1820,319,340,-297
10:41:55.401,,-188,-31,1031,-5250,-2380,-2590,309,337,-291
10:41:55.420,,-184,-44,1051,-6370,-3150,-2380,309,337,-294
10:41:55.439,,-179,-41,1059,-5250,-4060,-1190,315,337,-294
10:41:55.458,,-189,-15,1049,-3080,-3990,980,309,337,-295
10:41:55.477,,-205,6,1049,-2310,-2940,2940,316,340,-297
10:41:55.495,,-214,18,1047,-2310,-1960,3010,315,340,-288
10:41:55.514,,-215,22,1045,-1540,-1330,1330,304,333,-291
10:41:55.533,,-210,14,1044,-1750,-980,-560,313,334,-286
10:41:55.552,,-203,-4,1043,-2100,-350,-1330,306,328,-294
10:41:55.570,,-200,-10,1042,-1330,560,-910,321,339,-286
10:41:55.589,,-199,-10,1038,-630,1330,70,325,339,-300
10:41:55.608,,-196,-12,1037,-980,1330,630,318,336,-292
10:41:55.627,,-192,-16,1043,-1960,350,280,313,325,-286
10:41:55.645,,-189,-17,1047,-3010,-1540,-140,312,331,-282
10:41:55.664,,-190,-11,1052,-3500,-3430,280,312,331,-282
10:41:55.683,,-190,0,1057,-3150,-4480,1750,315,327,-289
10:41:55.702,,-195,19,1057,-1540,-4130,3150,322,339,-297
10:41:55.720,,-198,39,1048,140,-2590,3430,330,339,-294
10:41:55.739,,-198,42,1045,210,-350,2170,316,336,-301
10:41:55.758,,-191,24,1051,-770,1260,-490,316,327,-294
10:41:55.777,,-181,0,1057,-1330,1820,-3500,310,336,-292
10:41:55.796,,-176,-18,1054,-1890,1470,-5320,313,328,-297
10:41:55.814,,-176,-29,1048,-2310,770,-4760,327,334,-295
10:41:55.833,,-186,-25,1035,-1890,350,-2380,325,346,-303
10:41:55.852,,-198,-11,1035,-490,210,-140,331,330,-309
10:41:55.871,,-206,-1,1032,210,140,490,321,336,-315
10:41:55.889,,-203,-2,1030,-350,-70,-560,322,330,-310
10:41:55.908,,-193,-8,1034,-1190,-140,-1890,321,336,-313
10:41:55.927,,-188,-15,1033,-2520,210,-2310,334,346,-333
10:41:55.946,,-188,-20,1044,-3500,490,-2030,334,346,-334
10:41:55.965,,-193,-17,1042,-3150,560,-1190,331,339,-330
10:41:55.983,,-200,-7,1034,-1470,630,-140,333,345,-327
10:41:56.002,,-202,2,1025,140,840,490,328,334,-340
10:41:56.021,,-199,4,1019,490,1190,140,321,348,-336
10:41:56.040,,-197,-5,1025,-490,1330,-1190,333,342,-336
10:41:56.058,,-191,-30,1028,-1820,910,-2590,327,343,-343
10:41:56.077,,-185,-44,1034,-1960,70,-3010,328,346,-345
10:41:56.096,,-183,-40,1040,-1330,-770,-2380,324,346,-342
10:41:56.115,,-186,-33,1044,-420,-1890,-980,318,342,-339
10:41:56.133,,-195,-20,1047,980,-2800,350,324,348,-343
10:41:56.152,,-204,3,1048,3500,-3220,1260,330,351,-348
10:41:56.171,,-210,27,1044,4830,-3010,1680,328,351,-348
10:41:56.190,,-206,27,1040,3430,-1960,1330,324,343,-346
10:41:56.209,,-197,16,1044,1050,-420,0,316,337,-342
10:41:56.227,,-188,-5,1048,-490,840,-1820,318,345,-342
10:41:56.246,,-184,-21,1041,-630,1680,-2940,322,342,-331
10:41:56.265,,-189,-28,1027,-630,2380,-2730,324,348,-342
10:41:56.284,,-195,-28,1021,-1190,2590,-1750,325,354,-343
10:41:56.302,,-203,-23,1016,-1820,1960,-700,313,345,-346
10:41:56.321,,-212,-24,1027,-2310,350,-490,324,345,-339
10:41:56.340,,-209,-26,1045,-3290,-2170,-1470,318,337,-346
10:41:56.359,,-198,-25,1058,-3920,-4550,-2030,325,340,-343
10:41:56.377,,-192,-12,1066,-3780,-5390,-910,328,351,-343
10:41:56.396,,-197,1,1063,-3080,-4480,1120,337,348,-349
10:41:56.415,,-206,21,1063,-1610,-2520,1890,334,348,-352
10:41:56.434,,-214,26,1057,-560,-700,560,337,339,-355
10:41:56.453,,-207,8,1060,-1120,0,-2240,322,339,-343
10:41:56.471,,-191,-16,1063,-2870,-140,-5040,331,342,-349
10:41:56.490,,-185,-35,1063,-4060,-560,-5670,331,342,-349
10:41:56.509,,-194,-43,1065,-3920,-770,-3570,339,352,-366
10:41:56.528,,-206,-34,1064,-2870,-1330,-770,333,346,-349
10:41:56.546,,-205,-11,1064,-1260,-2450,770,333,346,-349
10:41:56.565,,-204,5,1062,-350,-3290,1400,327,348,-351
10:41:56.584,,-201,11,1055,70,-3150,1330,321,342,-355
10:41:56.603,,-197,15,1056,700,-1960,770,324,339,-351
10:41:56.621,,-189,2,1063,210,-700,-630,331,346,-349
10:41:56.640,,-177,-12,1066,-770,0,-2380,336,354,-355
10:41:56.659,,-168,-25,1062,-1050,350,-3430,336,345,-358
10:41:56.678,,-176,-24,1043,-280,910,-2940,328,345,-366
