Sensors' Acquisition [Hz]: Acc@52.0 Gyro@52.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ, GyroX [mdps], GyroY, GyroZ
00:04:35.054,,31,105,1007,-770,1610,-70
00:04:35.073,,33,104,1006,-840,1890,-560
00:04:35.092,,26,110,1007,-560,2520,-1190
00:04:35.111,,18,117,1010,-140,2800,-1330
00:04:35.129,,20,120,1012,140,2590,-840
00:04:35.148,,30,116,1014,-210,2310,-210
00:04:35.167,,29,111,1018,-840,2730,-700
00:04:35.186,,28,114,1020,-560,2940,-770
00:04:35.205,,25,120,1024,-700,2940,-490
00:04:35.224,,28,116,1027,-1470,2660,-280
00:04:35.243,,27,110,1029,-1750,2380,-280
00:04:35.262,,22,112,1026,-1190,2030,-490
00:04:35.280,,19,117,1020,-770,1470,-420
00:04:35.299,,24,117,1016,-910,1120,-70
00:04:35.318,,31,113,1014,-1470,1260,70
00:04:35.337,,30,106,1014,-2100,1680,-210
00:04:35.356,,28,103,1012,-1890,1750,-560
00:04:35.375,,22,110,1011,-1190,1610,-560
00:04:35.394,,26,109,1004,-1190,1330,-560
00:04:35.413,,26,113,1002,-1330,1470,-840
00:04:35.431,,24,109,997,-1400,1890,-1190
00:04:35.450,,22,111,996,-770,2450,-1190
00:04:35.469,,25,110,1001,-420,2870,-980
00:04:35.488,,31,108,1004,-560,3290,-910
00:04:35.507,,27,109,1009,-770,3570,-1190
00:04:35.526,,27,108,1012,-980,3570,-1540
00:04:35.545,,29,115,1014,-630,3640,-1610
00:04:35.564,,25,120,1018,-350,3780,-1330
00:04:35.583,,19,121,1020,-350,3780,-1190
00:04:35.601,,18,121,1022,-350,3360,-910
00:04:35.620,,21,119,1022,-280,2870,-420
00:04:35.639,,30,117,1023,-420,2590,-70
00:04:35.658,,27,112,1021,-1050,2590,-140
00:04:35.677,,25,109,1018,-1050,2310,-350
00:04:35.696,,24,114,1016,-630,2100,-420
00:04:35.715,,23,113,1016,-630,2170,-420
00:04:35.734,,23,111,1018,-630,2380,-280
00:04:35.752,,22,113,1018,-700,2380,-210
00:04:35.771,,20,110,1018,-1330,2240,-420
